"",BBAI3.Q.DE.N.V.LE.F4.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:01,
2005-10,88427,
2006-01,88936,
2006-04,89094,
2006-07,89481,
2006-10,89778,
2007-01,89285,
2007-04,87732,
2007-07,87584,
2007-10,86408,
2008-01,83593,
2008-04,79899,
2008-07,77403,
2008-10,74226,
2009-01,73238,
2009-04,70900,
2009-07,69464,
2009-10,68335,
2010-01,69308,
2010-04,68151,
2010-07,68325,
2010-10,68660,
2011-01,69415,
2011-04,68202,
2011-07,67940,
2011-10,68318,
2012-01,69060,
2012-04,71549,
2012-07,73175,
2012-10,73055,
2013-01,73971,
2013-04,74764,
2013-07,75380,
2013-10,75824,
2014-01,78752,
2014-04,79510,
2014-07,79146,
