"",BBAI3.Q.DE.N.V.LE.F51.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:52,
2005-10,38,
2006-01,41,
2006-04,39,
2006-07,38,
2006-10,39,
2007-01,37,
2007-04,39,
2007-07,37,
2007-10,36,
2008-01,33,
2008-04,27,
2008-07,24,
2008-10,22,
2009-01,19,
2009-04,16,
2009-07,18,
2009-10,22,
2010-01,19,
2010-04,19,
2010-07,20,
2010-10,22,
2011-01,23,
2011-04,23,
2011-07,18,
2011-10,27,
2012-01,26,
2012-04,29,
2012-07,25,
2012-10,27,
2013-01,26,
2013-04,29,
2013-07,24,
2013-10,26,
2014-01,26,
2014-04,28,
2014-07,31,
