"",BBK01.SUD285,BBK01.SUD285_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with collateral and/or guarantees, floating rate or initial rate fixation up to 1 year, with original maturity over 1 year",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:53,
2010-06,4564,
2010-07,6154,
2010-08,3094,
2010-09,4644,
2010-10,5485,
2010-11,3834,
2010-12,5184,
2011-01,5856,
2011-02,3410,
2011-03,5754,
2011-04,5269,
2011-05,3487,
2011-06,5105,
2011-07,7051,
2011-08,3452,
2011-09,5194,
2011-10,6392,
2011-11,3516,
2011-12,5140,
2012-01,5898,
2012-02,2693,
2012-03,4715,
2012-04,5302,
2012-05,3165,
2012-06,4461,
2012-07,5668,
2012-08,3954,
2012-09,5105,
2012-10,5400,
2012-11,3467,
2012-12,5422,
2013-01,7029,
2013-02,3085,
2013-03,4985,
2013-04,4460,
2013-05,3145,
2013-06,4489,
2013-07,4749,
2013-08,3020,
2013-09,3473,
2013-10,5791,
2013-11,2371,
2013-12,4245,
2014-01,6195,
2014-02,2333,
2014-03,3283,
2014-04,6891,
2014-05,2557,
2014-06,2635,
2014-07,6502,
2014-08,2682,
2014-09,3668,
2014-10,6648,
2014-11,2417,
2014-12,4910,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. Excluding overdrafts. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
