"",BBK01.CEHFCQ,BBK01.CEHFCQ_FLAGS
"",longer-term loans debtor: General government                    creditor: All sectors (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:05,
1991-01,-0.6,
1991-04,2.7,
1991-07,-0.3,
1991-10,4.9,
1992-01,-0.2,
1992-04,-9.4,
1992-07,-0.8,
1992-10,-12.9,
1993-01,-0.7,
1993-04,4.4,
1993-07,4.2,
1993-10,5.3,
1994-01,1.3,
1994-04,-1.8,
1994-07,0.6,
1994-10,11.7,
1995-01,11.8,
1995-04,11.2,
1995-07,18.2,
1995-10,28.7,
1996-01,6.0,
1996-04,-6.8,
1996-07,13.9,
1996-10,9.0,
1997-01,0.3,
1997-04,8.4,
1997-07,3.5,
1997-10,2.4,
1998-01,8.1,
1998-04,0.1,
1998-07,-3.2,
1998-10,-5.2,
1999-01,-4.6,
1999-04,-0.7,
1999-07,-4.8,
1999-10,6.1,
2000-01,0.1,
2000-04,3.1,
2000-07,-5.1,
2000-10,-11.2,
2001-01,-5.5,
2001-04,-1.5,
2001-07,-2.7,
2001-10,-5.0,
2002-01,-5.7,
2002-04,-4.5,
2002-07,-2.2,
2002-10,-2.9,
2003-01,-1.5,
2003-04,-0.7,
2003-07,3.0,
2003-10,6.8,
2004-01,-1.0,
2004-04,0.3,
2004-07,2.3,
2004-10,-2.1,
2005-01,1.5,
2005-04,-6.2,
2005-07,2.6,
2005-10,-2.7,
2006-01,-3.8,
2006-04,-5.4,
2006-07,-3.3,
2006-10,2.0,
2007-01,-9.2,
2007-04,-4.0,
2007-07,-4.0,
2007-10,-6.1,
2008-01,8.1,
2008-04,0.8,
2008-07,-5.1,
2008-10,-0.4,
2009-01,-1.7,
2009-04,6.9,
2009-07,3.2,
2009-10,2.8,
2010-01,-1.5,
2010-04,13.9,
2010-07,1.1,
2010-10,11.4,
2011-01,4.6,
2011-04,-4.4,
2011-07,4.4,
2011-10,-5.9,
2012-01,14.0,
2012-04,8.1,
2012-07,1.1,
2012-10,7.2,
2013-01,1.0,
2013-04,4.4,
2013-07,0.0,
2013-10,-1.4,
2014-01,-0.7,
