"",BBK01.BJ9069,BBK01.BJ9069_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty - Germany - overall,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:52,
1991,-44901,
1992,-41860,
1993,-51589,
1994,-44631,
1995,-177227,
1996,-65213,
1997,-55599,
1998,-48860,
1999,-31748,
2000,20742,
2001,-66529,
2002,-85769,
2003,-90284,
2004,-83118,
2005,-74957,
2006,-37018,
2007,7778,
2008,-541,
2009,-74518,
2010,-104822,
2011,-23272,Provisional value
2012,2606,Provisional value
2013,4172,Provisional value
2014,11937,Provisional value
"","Methodology: * Before adjustment for the balance of notional capital transfers between the government and the corporate sector, particularly in connection with the dissolution of the Treuhand agency (1995: ¤119.591 billion). Including proceeds from the sale of UMTS licences (2000: ¤50.807 billion, 2010: ¤4.385 billion).",
