"",BBK01.CELXD2,BBK01.CELXD2_FLAGS
"",Life insurance and annuity entitlements debtor: Domestic financial sectors                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:02,
1999-01,11.8,
1999-04,7.7,
1999-07,9.0,
1999-10,11.9,
2000-01,12.2,
2000-04,7.5,
2000-07,8.5,
2000-10,9.3,
2001-01,11.9,
2001-04,6.9,
2001-07,8.6,
2001-10,3.3,
2002-01,12.0,
2002-04,6.8,
2002-07,8.0,
2002-10,-4.9,
2003-01,10.5,
2003-04,6.5,
2003-07,7.0,
2003-10,6.3,
2004-01,8.8,
2004-04,5.8,
2004-07,6.0,
2004-10,9.8,
2005-01,8.9,
2005-04,6.1,
2005-07,6.4,
2005-10,16.2,
2006-01,7.2,
2006-04,7.2,
2006-07,7.2,
2006-10,7.2,
2007-01,7.0,
2007-04,6.9,
2007-07,6.9,
2007-10,6.4,
2008-01,1.5,
2008-04,0.3,
2008-07,0.9,
2008-10,1.5,
2009-01,13.4,
2009-04,4.1,
2009-07,2.6,
2009-10,7.2,
2010-01,14.0,
2010-04,9.0,
2010-07,6.2,
2010-10,7.4,
2011-01,4.0,
2011-04,2.6,
2011-07,2.0,
2011-10,2.1,
2012-01,11.0,
2012-04,8.5,
2012-07,6.4,
2012-10,6.2,
2013-01,9.1,
2013-04,9.0,
2013-07,8.9,
2013-10,8.9,
2014-01,14.3,
2014-04,6.7,
2014-07,3.8,
