"",BBK01.CELX6J,BBK01.CELX6J_FLAGS
"",Life insurance and annuity entitlements debtor: Insurance corporations and Pension funds                                  creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:53,
1999-01,11.6,
1999-04,7.6,
1999-07,8.9,
1999-10,11.7,
2000-01,12.2,
2000-04,7.5,
2000-07,8.4,
2000-10,9.2,
2001-01,11.9,
2001-04,6.9,
2001-07,8.6,
2001-10,3.1,
2002-01,12.0,
2002-04,6.9,
2002-07,8.0,
2002-10,-4.9,
2003-01,10.6,
2003-04,6.6,
2003-07,7.1,
2003-10,6.0,
2004-01,9.6,
2004-04,6.6,
2004-07,6.8,
2004-10,10.5,
2005-01,8.9,
2005-04,6.2,
2005-07,6.4,
2005-10,16.0,
2006-01,7.9,
2006-04,7.9,
2006-07,7.9,
2006-10,7.9,
2007-01,7.0,
2007-04,7.0,
2007-07,7.0,
2007-10,7.0,
2008-01,1.1,
2008-04,-0.1,
2008-07,0.6,
2008-10,1.2,
2009-01,12.4,
2009-04,3.2,
2009-07,1.7,
2009-10,6.3,
2010-01,14.2,
2010-04,9.2,
2010-07,6.5,
2010-10,7.7,
2011-01,4.5,
2011-04,3.2,
2011-07,2.6,
2011-10,2.7,
2012-01,10.3,
2012-04,7.9,
2012-07,5.8,
2012-10,5.6,
2013-01,8.8,
2013-04,8.8,
2013-07,8.7,
2013-10,8.7,
2014-01,13.4,
2014-04,6.0,
2014-07,3.5,
