"",BBAI3.Q.DE.N.V.BF90.F.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:09,
2005-10,24366,
2006-01,29019,
2006-04,26147,
2006-07,27918,
2006-10,26434,
2007-01,21861,
2007-04,17357,
2007-07,20885,
2007-10,31937,
2008-01,10128,
2008-04,6870,
2008-07,4513,
2008-10,16129,
2009-01,19236,
2009-04,27735,
2009-07,35294,
2009-10,32883,
2010-01,35522,
2010-04,40561,
2010-07,49771,
2010-10,34081,
2011-01,26027,
2011-04,31238,
2011-07,41003,
2011-10,42783,
2012-01,46873,
2012-04,53487,
2012-07,65393,
2012-10,65041,
2013-01,61956,
2013-04,49404,
2013-07,49722,
2013-10,41498,
2014-01,60488,
2014-04,82628,
2014-07,97443,
