"",BBAI3.Q.DE.N.V.LE.F.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:55,
2005-10,352063,
2006-01,349101,
2006-04,347063,
2006-07,349939,
2006-10,353249,
2007-01,352309,
2007-04,353924,
2007-07,349435,
2007-10,346963,
2008-01,340017,
2008-04,335829,
2008-07,327372,
2008-10,320336,
2009-01,309423,
2009-04,299159,
2009-07,297486,
2009-10,296916,
2010-01,300313,
2010-04,304384,
2010-07,306895,
2010-10,310510,
2011-01,309699,
2011-04,309247,
2011-07,314244,
2011-10,319845,
2012-01,321414,
2012-04,323455,
2012-07,328902,
2012-10,334708,
2013-01,331656,
2013-04,328782,
2013-07,329186,
2013-10,330592,
2014-01,334323,
2014-04,338193,
2014-07,339457,
