"",BBAI3.Q.DE.N.V.LE.F42A.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F42A.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Loans over 1 year and up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:27,
2005-10,17720,
2006-01,18134,
2006-04,18401,
2006-07,18713,
2006-10,18764,
2007-01,19134,
2007-04,19499,
2007-07,19944,
2007-10,20016,
2008-01,19666,
2008-04,19824,
2008-07,19838,
2008-10,19791,
2009-01,20535,
2009-04,21053,
2009-07,21247,
2009-10,21615,
2010-01,22030,
2010-04,22189,
2010-07,22254,
2010-10,22254,
2011-01,22471,
2011-04,22579,
2011-07,22686,
2011-10,22669,
2012-01,22973,
2012-04,22904,
2012-07,22988,
2012-10,23071,
2013-01,23169,
2013-04,23150,
2013-07,23520,
2013-10,23576,
2014-01,23924,
2014-04,24201,
2014-07,24223,
