"",BBNZ1.A.DE.N.H.0151.L,BBNZ1.A.DE.N.H.0151.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Gross fixed capital formation (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:44,
1950,16.31,
1951,17.15,
1952,18.74,
1953,22.22,
1954,24.60,
1955,29.25,
1956,31.72,
1957,31.82,
1958,33.17,
1959,36.91,
1960,39.55,
1961,42.11,
1962,43.71,
1963,44.24,
1964,49.21,
1965,51.51,
1966,52.11,
1967,48.46,
1968,50.05,
1969,54.84,
1970,59.75,
1971,63.32,
1972,65.02,
1973,65.31,
1974,59.67,
1975,56.98,
1976,58.98,
1977,61.63,
1978,64.61,
1979,68.61,
1980,70.16,
1981,66.89,
1982,63.84,
1983,65.75,
1984,65.85,
1985,66.30,
1986,68.41,
1987,69.83,
1988,73.36,
1989,78.66,
1990,84.95,
1991,89.32,
1992,92.72,
1993,88.84,
1994,92.03,
1995,91.91,
1996,91.38,
1997,92.09,
1998,95.74,
1999,100.28,
2000,102.73,
2001,100.24,
2002,94.49,
2003,93.17,
2004,93.15,
2005,93.41,
2006,99.97,
2007,104.38,
2008,105.66,
2009,95.17,
2010,100.00,
2011,107.31,
2012,106.54,
2013,105.91,
2014,109.50,
"","General: 1 Source of the original data: Bundesbank calculations up to 1959 and Federal Statistical Office as of 1960. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). Figures up to 1959 include additional estimates for Saarland and West Berlin. - 3 Methodology: At constant prices prior to 1970, at previous-year prices as of 1970. Figures at previous-year prices are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
