"",BBAI3.Q.DE.N.V.LE.F51.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:06,
2005-10,73110,
2006-01,70957,
2006-04,63958,
2006-07,73667,
2006-10,78357,
2007-01,82996,
2007-04,88362,
2007-07,83736,
2007-10,78867,
2008-01,71784,
2008-04,66002,
2008-07,59305,
2008-10,49485,
2009-01,40402,
2009-04,40126,
2009-07,48483,
2009-10,49074,
2010-01,54674,
2010-04,48636,
2010-07,48141,
2010-10,52145,
2011-01,56424,
2011-04,53058,
2011-07,41565,
2011-10,42706,
2012-01,51994,
2012-04,47275,
2012-07,53978,
2012-10,60700,
2013-01,65959,
2013-04,66616,
2013-07,68230,
2013-10,76266,
2014-01,75137,
2014-04,71684,
2014-07,73433,
