"",BBEX3.M.CLP.EUR.CA.AC.A01,BBEX3.M.CLP.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Chile / EUR 1 = CLP ... (middle),
unit,CLP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:43,
1999-01,555.865,
1999-02,553.855,
1999-03,519.000,
1999-04,512.245,
1999-05,511.900,
1999-06,534.700,
1999-07,549.100,
1999-08,547.500,
1999-09,564.695,
1999-10,577.180,
1999-11,549.500,
1999-12,531.800,
2000-01,505.500,
2000-02,484.000,
2000-03,481.500,
2000-04,468.930,
2000-05,491.490,
2000-06,516.050,
2000-07,514.500,
2000-08,498.500,
2000-09,498.245,
2000-10,484.315,
2000-11,503.550,
2000-12,533.450,
2001-01,522.500,
2001-02,530.470,
2001-03,521.750,
2001-04,538.000,
2001-05,517.200,
2001-06,536.735,
2001-07,585.500,
2001-08,604.650,
2001-09,630.000,
2001-10,641.800,
2001-11,614.750,
2001-12,582.800,
2002-01,583.250,
2002-02,581.250,
2002-03,571.800,
2002-04,581.785,
2002-05,609.550,
2002-06,681.500,
2002-07,691.150,
2002-08,697.750,
2002-09,738.950,
2002-10,716.300,
2002-11,700.000,
2002-12,753.500,
2003-01,791.230,
2003-02,811.220,
2003-03,784.810,
2003-04,780.830,
2003-05,843.870,
2003-06,796.560,
2003-07,800.770,
2003-08,760.450,
2003-09,771.250,
2003-10,730.520,
2003-11,743.200,
2003-12,748.810,
2004-01,739.500,
2004-02,739.390,
2004-03,759.730,
2004-04,748.220,
2004-05,771.880,
2004-06,768.830,
2004-07,768.100,
2004-08,758.050,
2004-09,748.320,
2004-10,783.100,
2004-11,781.120,
2004-12,759.710,
2005-01,763.950,
2005-02,764.020,
2005-03,758.770,
2005-04,751.410,
2005-05,723.260,
2005-06,698.930,
2005-07,683.790,
2005-08,666.280,
2005-09,642.540,
2005-10,655.800,
2005-11,611.910,
2005-12,608.600,
2006-01,634.180,
2006-02,614.040,
2006-03,641.580,
2006-04,650.060,
2006-05,683.630,
2006-06,692.620,
2006-07,687.940,
2006-08,690.160,
2006-09,683.890,
2006-10,669.370,
2006-11,695.700,
2006-12,703.380,
2007-01,706.370,
2007-02,713.040,
2007-03,719.260,
2007-04,719.070,
2007-05,708.460,
2007-06,708.380,
2007-07,716.840,
2007-08,715.140,
2007-09,723.890,
2007-10,713.560,
2007-11,750.510,
2007-12,725.730,
2008-01,688.930,
2008-02,697.350,
2008-03,692.570,
2008-04,714.650,
2008-05,743.770,
2008-06,821.320,
2008-07,782.660,
2008-08,759.290,
2008-09,798.710,
2008-10,854.920,
2008-11,849.560,
2008-12,889.330,
2009-01,794.740,
2009-02,760.380,
2009-03,768.040,
2009-04,780.150,
2009-05,787.390,
2009-06,744.330,
2009-07,762.700,
2009-08,787.190,
2009-09,796.020,
2009-10,789.050,
2009-11,741.720,
2009-12,727.210,
2010-01,743.500,
2010-02,716.280,
2010-03,705.770,
2010-04,689.600,
2010-05,650.080,
2010-06,662.220,
2010-07,683.900,
2010-08,632.130,
2010-09,661.260,
2010-10,685.000,
2010-11,637.300,
2010-12,619.870,
2011-01,656.860,
2011-02,654.060,
2011-03,680.710,
2011-04,681.540,
2011-05,667.010,
2011-06,679.550,
2011-07,652.330,
2011-08,672.820,
2011-09,698.780,
2011-10,699.220,
2011-11,698.440,
2011-12,675.200,
2012-01,641.550,
2012-02,642.280,
2012-03,650.760,
2012-04,640.870,
2012-05,640.980,
2012-06,633.440,
2012-07,591.630,
2012-08,602.060,
2012-09,607.780,
2012-10,622.200,
2012-11,621.980,
2012-12,632.900,
2013-01,639.530,
2013-02,619.830,
2013-03,603.810,
2013-04,617.440,
2013-05,642.840,
2013-06,657.010,
2013-07,681.970,
2013-08,677.410,
2013-09,680.060,
2013-10,698.980,
2013-11,718.530,
2013-12,721.040,
2014-01,741.690,
2014-02,772.620,
2014-03,756.950,
2014-04,774.040,
2014-05,745.330,
2014-06,751.260,
2014-07,764.250,
2014-08,782.180,
2014-09,763.330,
2014-10,734.770,
2014-11,746.990,
2014-12,739.530,
2015-01,707.170,
"","Source: Since 2003: Banco Central de Chile, Santiago de Chile. 1999 - 2002: Calculated on the basis of the buying and selling rates of the Dresdner Bank Lateinamerika AG, Hamburg.",
