"",BBAI3.Q.DE.N.V.LE.F29AB.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:33,
2005-10,63316,
2006-01,64272,
2006-04,66833,
2006-07,67932,
2006-10,70208,
2007-01,71767,
2007-04,74001,
2007-07,75683,
2007-10,76930,
2008-01,78380,
2008-04,79874,
2008-07,80357,
2008-10,80145,
2009-01,80880,
2009-04,83265,
2009-07,83000,
2009-10,82030,
2010-01,82234,
2010-04,83615,
2010-07,84007,
2010-10,84094,
2011-01,84829,
2011-04,85903,
2011-07,86021,
2011-10,85936,
2012-01,85548,
2012-04,86093,
2012-07,86295,
2012-10,84986,
2013-01,84912,
2013-04,84858,
2013-07,84071,
2013-10,82939,
2014-01,82599,
2014-04,82536,
2014-07,81851,
