"",BBFN1.M.DE.N.1.A.MT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1985-02,0.001,
1985-03,0.001,
1985-04,0.001,
1985-05,0.001,
1985-06,0.001,
1985-07,0.001,
1985-08,0.001,
1985-09,0.001,
1985-10,0.002,
1985-11,0.001,
1985-12,0.002,
1986-01,0.001,
1986-02,0.001,
1986-03,0.001,
1986-04,0.001,
1986-05,0.001,
1986-06,0.002,
1986-07,0.002,
1986-08,0.001,
1986-09,0.001,
1986-10,0.001,
1986-11,0.002,
1986-12,0.002,
1987-01,0.001,
1987-02,0.001,
1987-03,0.001,
1987-04,0.001,
1987-05,0.001,
1987-06,0.001,
1987-07,0.001,
1987-08,0.001,
1987-09,0.001,
1987-10,0.001,
1987-11,-,Nothing exists
1987-12,0.001,
1988-01,-,Nothing exists
1988-02,-,Nothing exists
1988-03,-,Nothing exists
1988-04,0.002,
1988-05,0.001,
1988-06,0.001,
1988-07,0.001,
1988-08,0.001,
1988-09,0.001,
1988-10,0.001,
1988-11,0.001,
1988-12,0.001,
1989-01,0.001,
1989-02,0.001,
1989-03,-,Nothing exists
1989-04,0.001,
1989-05,0.001,
1989-06,0.001,
1989-07,0.001,
1989-08,0.001,
1989-09,0.001,
1989-10,0.001,
1989-11,-,Nothing exists
1989-12,0.001,
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,0.001,
1990-05,0.002,
1990-06,0.002,
1990-07,0.002,
1990-08,0.002,
1990-09,0.001,
1990-10,0.001,
1990-11,0.001,
1990-12,0.001,
1991-01,-,Nothing exists
1991-02,0.001,
1991-03,0.001,
1991-04,0.001,
1991-05,0.001,
1991-06,0.001,
1991-07,0.001,
1991-08,0.001,
1991-09,0.001,
1991-10,0.002,
1991-11,0.001,
1991-12,0.001,
1992-01,0.001,
1992-02,0.001,
1992-03,0.001,
1992-04,0.001,
1992-05,0.001,
1992-06,0.001,
1992-07,0.002,
1992-08,0.001,
1992-09,0.002,
1992-10,0.002,
1992-11,0.002,
1992-12,0.003,
1993-01,0.002,
1993-02,0.002,
1993-03,0.002,
1993-04,0.002,
1993-05,0.002,
1993-06,0.002,
1993-07,0.003,
1993-08,0.003,
1993-09,0.003,
1993-10,0.002,
1993-11,0.002,
1993-12,0.003,
1994-01,0.003,
1994-02,0.002,
1994-03,0.003,
1994-04,0.004,
1994-05,0.006,
1994-06,0.006,
1994-07,0.006,
1994-08,0.005,
1994-09,0.006,
1994-10,0.007,
1994-11,0.008,
1994-12,0.007,
1995-01,0.007,
1995-02,0.007,
1995-03,0.009,
1995-04,0.010,
1995-05,0.009,
1995-06,0.009,
1995-07,0.010,
1995-08,0.009,
1995-09,0.010,
1995-10,0.010,
1995-11,0.010,
1995-12,0.010,
1996-01,0.009,
1996-02,0.009,
1996-03,0.009,
1996-04,0.009,
1996-05,0.010,
1996-06,0.010,
1996-07,0.009,
1996-08,0.010,
1996-09,0.009,
1996-10,0.007,
1996-11,0.006,
1996-12,0.019,
1997-01,0.019,
1997-02,0.019,
1997-03,0.020,
1997-04,0.020,
1997-05,0.020,
1997-06,0.020,
1997-07,0.019,
1997-08,0.020,
1997-09,0.020,
1997-10,0.020,
1997-11,0.020,
1997-12,0.015,
1998-01,0.016,
1998-02,0.016,
1998-03,0.016,
1998-04,0.016,
1998-05,0.016,
1998-06,0.016,
1998-07,0.016,
1998-08,0.016,
1998-09,0.015,
1998-10,0.019,
1998-11,0.021,
1998-12,0.008,
1999-01,0.004,
1999-02,0.004,
1999-03,0.005,
1999-04,0.007,
1999-05,0.005,
1999-06,0.007,
1999-07,0.021,
1999-08,0.006,
1999-09,0.004,
1999-10,0.012,
1999-11,0.006,
1999-12,0.006,
2000-01,0.003,
2000-02,0.010,
2000-03,0.007,
2000-04,0.009,
2000-05,0.011,
2000-06,0.009,
2000-07,0.005,
2000-08,0.004,
2000-09,0.005,
2000-10,0.010,
2000-11,0.009,
2000-12,0.009,
2001-01,0.003,
2001-02,0.005,
2001-03,0.004,
2001-04,0.007,
2001-05,0.006,
2001-06,0.004,
2001-07,0.003,
2001-08,0.003,
2001-09,0.004,
2001-10,0.005,
2001-11,0.005,
2001-12,0.009,
2002-01,0.006,
2002-02,0.005,
2002-03,0.006,
2002-04,0.004,
2002-05,0.005,
2002-06,0.050,
2002-07,0.050,
2002-08,0.050,
2002-09,0.005,
2002-10,0.007,
2002-11,0.006,
2002-12,0.005,
2003-01,0.006,
2003-02,0.006,
2003-03,0.007,
2003-04,0.007,
2003-05,0.006,
2003-06,0.005,
2003-07,0.004,
2003-08,0.005,
2003-09,0.006,
2003-10,0.006,
2003-11,0.006,
2003-12,0.006,
2004-01,0.005,
2004-02,0.006,
2004-03,0.007,
2004-04,0.007,
2004-05,.,No value available
2004-06,0.071,
2004-07,0.071,
2004-08,0.073,
2004-09,0.179,
2004-10,0.207,
2004-11,0.209,
2004-12,0.200,
2005-01,0.199,
2005-02,0.202,
2005-03,0.201,
2005-04,0.201,
2005-05,0.076,
2005-06,0.079,
2005-07,0.100,
2005-08,0.101,
2005-09,0.105,
2005-10,0.106,
2005-11,0.103,
2005-12,0.087,
2006-01,0.097,
2006-02,0.101,
2006-03,0.111,
2006-04,0.113,
2006-05,0.113,
2006-06,0.113,
2006-07,0.112,
2006-08,0.108,
2006-09,0.111,
2006-10,0.114,
2006-11,0.109,
2006-12,0.093,
2007-01,0.009,
2007-02,0.014,
2007-03,0.016,
2007-04,0.012,
2007-05,0.016,
2007-06,0.026,
2007-07,0.022,
2007-08,0.044,
2007-09,0.044,
2007-10,0.041,
2007-11,0.039,
2007-12,0.065,
2008-01,0.136,
2008-02,0.033,
2008-03,0.057,
2008-04,0.162,
2008-05,0.168,
2008-06,0.075,
2008-07,0.117,
2008-08,0.058,
2008-09,0.180,
2008-10,0.137,
2008-11,0.147,
2008-12,0.440,
2009-01,0.452,
2009-02,0.371,
2009-03,0.384,
2009-04,0.486,
2009-05,0.674,
2009-06,0.461,
2009-07,0.488,
2009-08,0.552,
2009-09,0.328,
2009-10,0.266,
2009-11,0.200,
2009-12,0.387,
2010-01,0.362,
2010-02,0.451,
2010-03,0.320,
2010-04,0.305,
2010-05,0.328,
2010-06,0.140,
2010-07,0.145,
2010-08,0.147,
2010-09,0.151,
2010-10,0.169,
2010-11,0.189,
2010-12,0.241,
2011-01,0.280,
2011-02,0.552,
2011-03,0.564,
2011-04,0.599,
2011-05,0.587,
2011-06,0.463,
2011-07,0.469,
2011-08,0.437,
2011-09,0.143,
2011-10,0.533,
2011-11,0.902,
2011-12,0.977,
2012-01,1.048,
2012-02,1.034,
2012-03,1.047,
2012-04,1.355,
2012-05,0.797,
2012-06,0.751,
2012-07,0.712,
2012-08,0.553,
2012-09,0.534,
2012-10,0.667,
2012-11,0.691,
2012-12,1.027,
2013-01,1.010,
2013-02,0.666,
2013-03,0.603,
2013-04,0.656,
2013-05,0.689,
2013-06,0.670,
2013-07,0.402,
2013-08,0.507,
2013-09,0.527,
2013-10,0.575,
2013-11,0.550,
2013-12,0.722,
2014-01,0.952,
2014-02,0.545,
2014-03,0.240,
2014-04,0.233,
2014-05,0.279,
2014-06,0.228,
2014-07,0.167,
2014-08,0.537,
2014-09,0.224,
2014-10,0.235,
2014-11,0.275,
2014-12,0.234,
