"",BBSF2.M.1.P.00000.GEL01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEL01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,728,
1994-10,1977,
1994-11,4219,
1994-12,15990,
1995-01,15155,
1995-02,14013,
1995-03,13202,
1995-04,13403,
1995-05,13771,
1995-06,14059,
1995-07,14343,
1995-08,14604,
1995-09,14660,
1995-10,15238,
1995-11,15779,
1995-12,19554,
1996-01,19526,
1996-02,20297,
1996-03,20146,
1996-04,20084,
1996-05,19798,
1996-06,19203,
1996-07,18630,
1996-08,18255,
1996-09,17978,
1996-10,18120,
1996-11,17596,
1996-12,17347,
1997-01,16683,
1997-02,16654,
1997-03,16231,
1997-04,16039,
1997-05,15780,
1997-06,15318,
1997-07,15685,
1997-08,15971,
1997-09,15935,
1997-10,15352,
1997-11,15055,
1997-12,14994,
1998-01,15241,
1998-02,16503,
1998-03,16865,
1998-04,16928,
1998-05,16970,
1998-06,17102,
1998-07,17295,
1998-08,17985,
1998-09,17917,
1998-10,18393,
1998-11,18380,
1998-12,18220,
1999-01,19635,
1999-02,20300,
1999-03,20318,
1999-04,21015,
1999-05,21909,
1999-06,22445,
1999-07,23083,
1999-08,23707,
1999-09,24261,
1999-10,24196,
1999-11,23083,
1999-12,21835,
2000-01,23617,
2000-02,24640,
2000-03,24738,
2000-04,24108,
2000-05,23641,
2000-06,22734,
2000-07,22150,
2000-08,22130,
2000-09,21269,
2000-10,20919,
2000-11,20749,
2000-12,20196,
2001-01,20946,
2001-02,21949,
2001-03,23107,
2001-04,23772,
2001-05,23795,
2001-06,24672,
2001-07,25417,
2001-08,26987,
2001-09,28540,
2001-10,30167,
2001-11,31314,
2001-12,33177,
2002-01,34653,
2002-02,35538,
2002-03,35408,
2002-04,35564,
2002-05,35848,
2002-06,35429,
2002-07,35926,
2002-08,37054,
2002-09,37278,
2002-10,37944,
2002-11,37776,
2002-12,37170,
2003-01,39031,
2003-02,40032,
2003-03,40501,
2003-04,39904,
2003-05,39830,
2003-06,39046,
2003-07,38571,
2003-08,38270,
2003-09,38271,
2003-10,37333,
2003-11,36922,
2003-12,36463,
2004-01,36102,
2004-02,35794,
2004-03,35237,
2004-04,35210,
2004-05,35127,
2004-06,34973,
2004-07,38865,
2004-08,40077,
2004-09,37564,
2004-10,36331,
2004-11,34496,
2004-12,30536,
2005-01,30352,
2005-02,30667,
2005-03,32761,
2005-04,33501,
2005-05,32985,
2005-06,33011,
2005-07,34435,
2005-08,34557,
2005-09,34217,
2005-10,31323,
2005-11,30361,
2005-12,30664,
2006-01,30134,
2006-02,30712,
2006-03,30560,
2006-04,30481,
2006-05,31137,
2006-06,32053,
2006-07,31491,
2006-08,31247,
2006-09,30909,
2006-10,31416,
2006-11,31392,
2006-12,31438,
2007-01,31380,
2007-02,31089,
2007-03,32142,
2007-04,31833,
2007-05,32167,
2007-06,33637,
2007-07,33231,
2007-08,30487,
2007-09,28475,
2007-10,27390,
2007-11,27276,
2007-12,26836,
2008-01,27065,
2008-02,27225,
2008-03,25451,
2008-04,23639,
2008-05,22800,
2008-06,21945,
2008-07,21603,
2008-08,21323,
2008-09,20590,
2008-10,16721,
2008-11,15598,
2008-12,14544,
2009-01,14149,
2009-02,13640,
2009-03,13063,
2009-04,12797,
2009-05,12422,
2009-06,11938,
2009-07,10731,
2009-08,10621,
2009-09,10474,
2009-10,10298,
2009-11,10049,
2009-12,9431,
2010-01,10152,
2010-02,10014,
2010-03,9551,
2010-04,9235,
2010-05,9408,
2010-06,9104,
2010-07,9056,
2010-08,8646,
2010-09,8575,
2010-10,8428,
2010-11,8710,
2010-12,8761,
2011-01,8785,
2011-02,8726,
2011-03,8855,
2011-04,8565,
2011-05,8313,
2011-06,8204,
2011-07,5490,
2011-08,5882,
2011-09,5931,
2011-10,5896,
2011-11,4894,
2011-12,4749,
2012-01,4429,
2012-02,4264,
2012-03,4114,
2012-04,4103,
2012-05,4099,
2012-06,4232,
2012-07,4142,
2012-08,4089,
2012-09,3971,
2012-10,3959,
2012-11,3869,
2012-12,3815,
2013-01,3670,
2013-02,3523,
2013-03,3409,
2013-04,3347,
2013-05,3302,
2013-06,3577,
2013-07,3574,
2013-08,3596,
2013-09,3508,
2013-10,3403,
2013-11,3307,
2013-12,3319,
2014-01,3443,
2014-02,3386,
2014-03,3177,
2014-04,3191,
2014-05,3164,
2014-06,3086,
2014-07,3053,
2014-08,2798,
2014-09,2777,
2014-10,2700,
2014-11,2658,
