"",BBFN1.M.DE.N.1.L.PT.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1987-09,-,Nothing exists
1987-10,-,Nothing exists
1987-11,-,Nothing exists
1987-12,-,Nothing exists
1988-01,-,Nothing exists
1988-02,-,Nothing exists
1988-03,-,Nothing exists
1988-04,-,Nothing exists
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,.,No value available
1993-05,.,No value available
1993-06,.,No value available
1993-07,.,No value available
1993-08,.,No value available
1993-09,.,No value available
1993-10,.,No value available
1993-11,.,No value available
1993-12,.,No value available
1994-01,.,No value available
1994-02,.,No value available
1994-03,.,No value available
1994-04,.,No value available
1994-05,.,No value available
1994-06,.,No value available
1994-07,0.046,
1994-08,0.046,
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,.,No value available
1995-02,.,No value available
1995-03,.,No value available
1995-04,.,No value available
1995-05,.,No value available
1995-06,.,No value available
1995-07,.,No value available
1995-08,.,No value available
1995-09,.,No value available
1995-10,.,No value available
1995-11,.,No value available
1995-12,.,No value available
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,.,No value available
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,.,No value available
1996-10,.,No value available
1996-11,.,No value available
1996-12,.,No value available
1997-01,.,No value available
1997-02,.,No value available
1997-03,.,No value available
1997-04,.,No value available
1997-05,.,No value available
1997-06,.,No value available
1997-07,.,No value available
1997-08,.,No value available
1997-09,.,No value available
1997-10,.,No value available
1997-11,.,No value available
1997-12,.,No value available
1998-01,.,No value available
1998-02,.,No value available
1998-03,0.140,
1998-04,0.140,
1998-05,0.141,
1998-06,0.141,
1998-07,0.144,
1998-08,0.144,
1998-09,0.144,
1998-10,0.146,
1998-11,0.146,
1998-12,0.148,
1999-01,0.171,
1999-02,0.150,
1999-03,0.152,
1999-04,0.154,
1999-05,0.156,
1999-06,0.156,
1999-07,0.156,
1999-08,0.158,
1999-09,0.159,
1999-10,0.159,
1999-11,0.159,
1999-12,0.161,
2000-01,0.161,
2000-02,0.161,
2000-03,.,No value available
2000-04,.,No value available
2000-05,.,No value available
2000-06,.,No value available
2000-07,.,No value available
2000-08,.,No value available
2000-09,.,No value available
2000-10,.,No value available
2000-11,.,No value available
2000-12,0.126,
2001-01,0.127,
2001-02,0.127,
2001-03,0.127,
2001-04,0.127,
2001-05,0.127,
2001-06,0.141,
2001-07,0.141,
2001-08,0.141,
2001-09,0.136,
2001-10,0.136,
2001-11,0.136,
2001-12,0.135,
2002-01,0.135,
2002-02,0.142,
2002-03,0.142,
2002-04,0.140,
2002-05,0.140,
2002-06,0.139,
2002-07,0.139,
2002-08,0.139,
2002-09,0.139,
2002-10,0.139,
2002-11,0.139,
2002-12,0.130,
2003-01,0.130,
2003-02,0.130,
2003-03,0.130,
2003-04,0.129,
2003-05,0.129,
2003-06,0.128,
2003-07,0.128,
2003-08,0.128,
2003-09,.,No value available
2003-10,.,No value available
2003-11,.,No value available
2003-12,.,No value available
2004-01,.,No value available
2004-02,0.418,
2004-03,0.417,
2004-04,0.417,
2004-05,0.417,
2004-06,0.416,
2004-07,0.416,
2004-08,0.416,
2004-09,0.416,
2004-10,.,No value available
2004-11,.,No value available
2004-12,.,No value available
2005-01,.,No value available
2005-02,0.464,
2005-03,0.464,
2005-04,0.464,
2005-05,0.464,
2005-06,0.463,
2005-07,0.463,
2005-08,0.463,
2005-09,0.463,
2005-10,0.463,
2005-11,0.463,
2005-12,0.462,
2006-01,0.462,
2006-02,0.608,
2006-03,0.462,
2006-04,0.465,
2006-05,0.465,
2006-06,0.464,
2006-07,0.464,
2006-08,0.464,
2006-09,0.464,
2006-10,0.804,
2006-11,0.743,
2006-12,0.742,
2007-01,0.727,
2007-02,0.727,
2007-03,0.727,
2007-04,1.112,
2007-05,1.112,
2007-06,.,No value available
2007-07,.,No value available
2007-08,.,No value available
2007-09,.,No value available
2007-10,.,No value available
2007-11,.,No value available
2007-12,.,No value available
2008-01,.,No value available
2008-02,.,No value available
2008-03,.,No value available
2008-04,.,No value available
2008-05,.,No value available
2008-06,.,No value available
2008-07,.,No value available
2008-08,.,No value available
2008-09,.,No value available
2008-10,.,No value available
2008-11,.,No value available
2008-12,.,No value available
2009-01,.,No value available
2009-02,.,No value available
2009-03,.,No value available
2009-04,.,No value available
2009-05,.,No value available
2009-06,1.127,
2009-07,1.127,
2009-08,1.273,
2009-09,1.264,
2009-10,1.264,
2009-11,1.262,
2009-12,1.255,
2010-01,1.255,
2010-02,1.255,
2010-03,1.250,
2010-04,1.247,
2010-05,1.216,
2010-06,1.215,
2010-07,1.215,
2010-08,1.215,
2010-09,1.209,
2010-10,1.207,
2010-11,1.210,
2010-12,1.205,
2011-01,1.217,
2011-02,1.217,
2011-03,1.217,
2011-04,1.213,
2011-05,1.212,
2011-06,1.212,
2011-07,1.212,
2011-08,1.212,
2011-09,1.208,
2011-10,1.201,
2011-11,1.201,
2011-12,0.896,
2012-01,0.896,
2012-02,0.896,
2012-03,0.894,
2012-04,0.504,
2012-05,0.499,
2012-06,0.499,
2012-07,0.489,
2012-08,0.489,
2012-09,0.475,
2012-10,0.470,
2012-11,0.469,
2012-12,0.464,
2013-01,0.464,
2013-02,0.446,
2013-03,0.444,
2013-04,0.444,
2013-05,0.444,
2013-06,0.435,
2013-07,0.425,
2013-08,0.425,
2013-09,0.425,
2013-10,0.426,
2013-11,0.425,
2013-12,0.420,
2014-01,0.420,
2014-02,0.055,
2014-03,0.053,
2014-04,0.053,
2014-05,0.053,
2014-06,0.053,
2014-07,0.053,
2014-08,0.053,
2014-09,0.053,
2014-10,0.053,
2014-11,0.053,
2014-12,0.053,
