"",BBAI3.Q.DE.N.V.BF90.F.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:29,
2005-10,4435,
2006-01,7643,
2006-04,10397,
2006-07,6514,
2006-10,6027,
2007-01,3166,
2007-04,536,
2007-07,3435,
2007-10,5218,
2008-01,6595,
2008-04,8741,
2008-07,11463,
2008-10,17296,
2009-01,22620,
2009-04,24011,
2009-07,20947,
2009-10,20054,
2010-01,18333,
2010-04,22176,
2010-07,23315,
2010-10,20062,
2011-01,18545,
2011-04,20945,
2011-07,26738,
2011-10,28589,
2012-01,23681,
2012-04,26667,
2012-07,24602,
2012-10,19240,
2013-01,18270,
2013-04,16533,
2013-07,16130,
2013-10,10357,
2014-01,14537,
2014-04,18348,
2014-07,18517,
