"",BBK01.CEH4C0,BBK01.CEH4C0_FLAGS
"",Loans debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:34,
1991-01,-1.7,
1991-04,4.0,
1991-07,-1.2,
1991-10,9.3,
1992-01,-3.3,
1992-04,-6.6,
1992-07,-2.7,
1992-10,-7.5,
1993-01,-5.6,
1993-04,5.4,
1993-07,3.7,
1993-10,8.6,
1994-01,-1.7,
1994-04,0.1,
1994-07,0.9,
1994-10,18.4,
1995-01,11.4,
1995-04,10.4,
1995-07,15.9,
1995-10,32.8,
1996-01,5.4,
1996-04,-3.7,
1996-07,7.4,
1996-10,17.5,
1997-01,3.2,
1997-04,-6.5,
1997-07,12.7,
1997-10,1.8,
1998-01,9.4,
1998-04,-5.3,
1998-07,4.0,
1998-10,-5.2,
1999-01,-2.5,
1999-04,0.1,
1999-07,-5.0,
1999-10,2.1,
2000-01,9.4,
2000-04,-4.6,
2000-07,6.7,
2000-10,-27.2,
2001-01,8.9,
2001-04,-12.4,
2001-07,-1.6,
2001-10,-2.4,
2002-01,10.6,
2002-04,-20.8,
2002-07,-4.0,
2002-10,4.1,
2003-01,3.2,
2003-04,1.9,
2003-07,12.4,
2003-10,-1.1,
2004-01,11.3,
2004-04,-7.0,
2004-07,1.7,
2004-10,-5.3,
2005-01,11.5,
2005-04,-7.5,
2005-07,6.1,
2005-10,-9.5,
2006-01,8.1,
2006-04,-7.7,
2006-07,6.1,
2006-10,-11.6,
2007-01,6.3,
2007-04,0.5,
2007-07,-8.9,
2007-10,-18.9,
2008-01,23.1,
2008-04,6.0,
2008-07,-14.9,
2008-10,9.7,
2009-01,-6.5,
2009-04,0.4,
2009-07,8.3,
2009-10,-4.0,
2010-01,-2.5,
2010-04,23.5,
2010-07,3.0,
2010-10,170.9,
2011-01,-16.9,
2011-04,-22.2,
2011-07,0.8,
2011-10,0.7,
2012-01,-3.6,
2012-04,19.1,
2012-07,-21.9,
2012-10,-10.9,
2013-01,-13.2,
2013-04,1.7,
2013-07,-18.2,
2013-10,9.9,
2014-01,-15.6,
