"",BBK01.CEBW15,BBK01.CEBW15_FLAGS
"",Claims on insurance corporations debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:16,
1991-01,1.7,
1991-04,1.7,
1991-07,1.7,
1991-10,1.7,
1992-01,2.0,
1992-04,2.0,
1992-07,1.9,
1992-10,1.8,
1993-01,2.1,
1993-04,2.1,
1993-07,2.1,
1993-10,2.0,
1994-01,2.0,
1994-04,2.2,
1994-07,2.2,
1994-10,2.2,
1995-01,2.5,
1995-04,2.5,
1995-07,2.5,
1995-10,2.4,
1996-01,2.8,
1996-04,2.8,
1996-07,2.7,
1996-10,2.6,
1997-01,2.9,
1997-04,2.8,
1997-07,2.8,
1997-10,2.8,
1998-01,3.0,
1998-04,3.0,
1998-07,3.0,
1998-10,2.9,
1999-01,0.5,
1999-04,0.5,
1999-07,0.5,
1999-10,0.5,
2000-01,0.5,
2000-04,0.5,
2000-07,0.6,
2000-10,0.5,
2001-01,0.5,
2001-04,0.6,
2001-07,0.6,
2001-10,0.6,
2002-01,0.6,
2002-04,0.6,
2002-07,0.6,
2002-10,0.6,
2003-01,0.6,
2003-04,0.6,
2003-07,0.6,
2003-10,0.6,
2004-01,0.6,
2004-04,0.6,
2004-07,0.6,
2004-10,0.6,
2005-01,0.6,
2005-04,0.6,
2005-07,0.6,
2005-10,0.6,
2006-01,0.6,
2006-04,0.6,
2006-07,0.6,
2006-10,0.7,
2007-01,0.7,
2007-04,0.7,
2007-07,0.7,
2007-10,0.7,
2008-01,0.7,
2008-04,0.7,
2008-07,0.7,
2008-10,0.7,
2009-01,0.7,
2009-04,0.7,
2009-07,0.7,
2009-10,0.7,
2010-01,0.7,
2010-04,0.7,
2010-07,0.7,
2010-10,0.8,
2011-01,0.8,
2011-04,0.8,
2011-07,0.8,
2011-10,0.8,
2012-01,0.8,
2012-04,0.8,
2012-07,0.8,
2012-10,0.8,
2013-01,0.8,
2013-04,0.8,
2013-07,0.8,
2013-10,0.8,
2014-01,0.8,
