"",BBK01.CEHA02,BBK01.CEHA02_FLAGS
"",Money market paper debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:08,
1991-01,-0.6,
1991-04,-0.2,
1991-07,-2.4,
1991-10,1.0,
1992-01,-2.2,
1992-04,-0.7,
1992-07,5.1,
1992-10,-5.8,
1993-01,5.8,
1993-04,-4.3,
1993-07,-0.9,
1993-10,0.6,
1994-01,-1.4,
1994-04,-2.5,
1994-07,-0.3,
1994-10,3.1,
1995-01,-1.1,
1995-04,0.5,
1995-07,-0.7,
1995-10,0.9,
1996-01,-0.2,
1996-04,-0.9,
1996-07,0.3,
1996-10,3.0,
1997-01,0.9,
1997-04,-1.7,
1997-07,0.7,
1997-10,-1.2,
1998-01,2.1,
1998-04,0.4,
1998-07,-0.1,
1998-10,6.2,
1999-01,1.4,
1999-04,0.3,
1999-07,6.2,
1999-10,8.9,
2000-01,1.2,
2000-04,2.3,
2000-07,0.3,
2000-10,0.4,
2001-01,-2.9,
2001-04,-6.2,
2001-07,-1.4,
2001-10,-9.2,
2002-01,1.8,
2002-04,-0.2,
2002-07,6.2,
2002-10,-3.1,
2003-01,5.0,
2003-04,-1.5,
2003-07,-1.2,
2003-10,-0.2,
2004-01,-2.4,
2004-04,3.7,
2004-07,6.9,
2004-10,-3.1,
2005-01,-3.9,
2005-04,0.3,
2005-07,4.5,
2005-10,-0.5,
2006-01,0.8,
2006-04,9.8,
2006-07,-1.1,
2006-10,-2.4,
2007-01,10.4,
2007-04,8.9,
2007-07,5.4,
2007-10,25.6,
2008-01,4.3,
2008-04,17.9,
2008-07,3.0,
2008-10,-5.8,
2009-01,-27.3,
2009-04,-13.4,
2009-07,-5.0,
2009-10,5.6,
2010-01,-4.7,
2010-04,6.5,
2010-07,-2.9,
2010-10,0.6,
2011-01,-3.5,
2011-04,0.1,
2011-07,-3.3,
2011-10,-17.0,
2012-01,3.1,
2012-04,-2.1,
2012-07,-3.4,
2012-10,-5.2,
2013-01,-2.0,
2013-04,1.4,
2013-07,-0.5,
2013-10,-1.9,
2014-01,4.6,
