"",BBAI3.Q.DE.N.V.LE.F332A.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:18,
2005-10,3348,
2006-01,3416,
2006-04,3068,
2006-07,2422,
2006-10,2272,
2007-01,4201,
2007-04,2939,
2007-07,2928,
2007-10,3522,
2008-01,2810,
2008-04,2740,
2008-07,2630,
2008-10,3114,
2009-01,2878,
2009-04,2996,
2009-07,2962,
2009-10,2445,
2010-01,2665,
2010-04,2297,
2010-07,2239,
2010-10,2072,
2011-01,2114,
2011-04,1912,
2011-07,2738,
2011-10,2579,
2012-01,3632,
2012-04,3223,
2012-07,4036,
2012-10,3276,
2013-01,1264,
2013-04,1121,
2013-07,1338,
2013-10,846,
2014-01,966,
2014-04,988,
2014-07,1002,
