"",BBK01.CELQ20,BBK01.CELQ20_FLAGS
"",short-term time deposits                                 debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:53,
1999-01,-86.6,
1999-04,7.2,
1999-07,42.2,
1999-10,70.0,
2000-01,-17.7,
2000-04,-15.0,
2000-07,16.3,
2000-10,126.0,
2001-01,33.8,
2001-04,-31.2,
2001-07,5.7,
2001-10,44.0,
2002-01,-80.3,
2002-04,-9.6,
2002-07,23.6,
2002-10,83.3,
2003-01,-36.3,
2003-04,3.8,
2003-07,-21.9,
2003-10,63.2,
2004-01,-62.0,
2004-04,11.5,
2004-07,11.2,
2004-10,117.2,
2005-01,-75.4,
2005-04,3.1,
2005-07,36.4,
2005-10,51.0,
2006-01,24.7,
2006-04,4.4,
2006-07,34.7,
2006-10,54.0,
2007-01,37.5,
2007-04,3.4,
2007-07,116.3,
2007-10,201.0,
2008-01,-54.2,
2008-04,20.3,
2008-07,122.4,
2008-10,-20.8,
2009-01,-266.2,
2009-04,5.5,
2009-07,-163.9,
2009-10,-56.1,
2010-01,-79.7,
2010-04,39.5,
2010-07,-102.9,
2010-10,24.6,
2011-01,-91.3,
2011-04,-32.4,
2011-07,62.7,
2011-10,-8.6,
2012-01,58.9,
2012-04,-31.3,
2012-07,-69.9,
2012-10,-115.1,
2013-01,10.8,
2013-04,-17.4,
2013-07,-72.6,
2013-10,11.6,
2014-01,-11.3,
2014-04,-19.1,
2014-07,3.9,
