"",BBAI3.Q.DE.N.V.LE.F51.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:03,
2005-10,178852,
2006-01,173537,
2006-04,159639,
2006-07,186387,
2006-10,202048,
2007-01,211006,
2007-04,227434,
2007-07,217150,
2007-10,206724,
2008-01,185287,
2008-04,171298,
2008-07,154612,
2008-10,130640,
2009-01,105123,
2009-04,105581,
2009-07,128860,
2009-10,130769,
2010-01,140603,
2010-04,124303,
2010-07,122881,
2010-10,131837,
2011-01,139954,
2011-04,132032,
2011-07,103726,
2011-10,106953,
2012-01,128792,
2012-04,117677,
2012-07,134951,
2012-10,152023,
2013-01,162321,
2013-04,164524,
2013-07,169159,
2013-10,188789,
2014-01,182700,
2014-04,175824,
2014-07,179459,
