"",BBSF2.M.1.S.I0000.GEL01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.GEL01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,1,
1995-07,1,
1995-08,1,
1995-09,1,
1995-10,1,
1995-11,2,
1995-12,2,
1996-01,2,
1996-02,2,
1996-03,2,
1996-04,2,
1996-05,2,
1996-06,2,
1996-07,2,
1996-08,2,
1996-09,2,
1996-10,2,
1996-11,2,
1996-12,2,
1997-01,2,
1997-02,2,
1997-03,2,
1997-04,2,
1997-05,2,
1997-06,2,
1997-07,2,
1997-08,3,
1997-09,3,
1997-10,3,
1997-11,3,
1997-12,3,
1998-01,3,
1998-02,3,
1998-03,3,
1998-04,3,
1998-05,3,
1998-06,3,
1998-07,2,
1998-08,2,
1998-09,2,
1998-10,2,
1998-11,2,
1998-12,2,
1999-01,2,
1999-02,2,
1999-03,2,
1999-04,2,
1999-05,2,
1999-06,2,
1999-07,2,
1999-08,2,
1999-09,2,
1999-10,2,
1999-11,2,
1999-12,2,
2000-01,2,
2000-02,2,
2000-03,1,
2000-04,1,
2000-05,1,
2000-06,1,
2000-07,1,
2000-08,1,
2000-09,1,
2000-10,1,
2000-11,1,
2000-12,1,
2001-01,5,
2001-02,5,
2001-03,5,
2001-04,5,
2001-05,5,
2001-06,5,
2001-07,5,
2001-08,5,
2001-09,5,
2001-10,5,
2001-11,5,
2001-12,5,
2002-01,10,
2002-02,10,
2002-03,10,
2002-04,10,
2002-05,9,
2002-06,9,
2002-07,9,
2002-08,10,
2002-09,11,
2002-10,11,
2002-11,11,
2002-12,11,
2003-01,11,
2003-02,11,
2003-03,11,
2003-04,11,
2003-05,11,
2003-06,11,
2003-07,11,
2003-08,12,
2003-09,12,
2003-10,14,
2003-11,14,
2003-12,14,
2004-01,14,
2004-02,14,
2004-03,14,
2004-04,14,
2004-05,17,
2004-06,17,
2004-07,17,
2004-08,17,
2004-09,17,
2004-10,17,
2004-11,16,
2004-12,16,
2005-01,16,
2005-02,16,
2005-03,16,
2005-04,15,
2005-05,15,
2005-06,15,
2005-07,16,
2005-08,16,
2005-09,16,
2005-10,16,
2005-11,16,
2005-12,16,
2006-01,16,
2006-02,16,
2006-03,16,
2006-04,16,
2006-05,15,
2006-06,15,
2006-07,15,
2006-08,15,
2006-09,12,
2006-10,12,
2006-11,12,
2006-12,12,
2007-01,12,
2007-02,12,
2007-03,12,
2007-04,24,
2007-05,24,
2007-06,25,
2007-07,25,
2007-08,25,
2007-09,25,
2007-10,25,
2007-11,25,
2007-12,24,
2008-01,24,
2008-02,24,
2008-03,24,
2008-04,24,
2008-05,24,
2008-06,24,
2008-07,24,
2008-08,24,
2008-09,24,
2008-10,24,
2008-11,24,
2008-12,24,
2009-01,23,
2009-02,23,
2009-03,23,
2009-04,23,
2009-05,23,
2009-06,23,
2009-07,23,
2009-08,22,
2009-09,23,
2009-10,23,
2009-11,23,
2009-12,23,
2010-01,23,
2010-02,23,
2010-03,23,
2010-04,23,
2010-05,24,
2010-06,24,
2010-07,24,
2010-08,23,
2010-09,24,
2010-10,23,
2010-11,23,
2010-12,23,
2011-01,23,
2011-02,15,
2011-03,16,
2011-04,16,
2011-05,16,
2011-06,16,
2011-07,17,
2011-08,17,
2011-09,17,
2011-10,17,
2011-11,18,
2011-12,18,
2012-01,18,
2012-02,18,
2012-03,18,
2012-04,18,
2012-05,18,
2012-06,18,
2012-07,19,
2012-08,15,
2012-09,14,
2012-10,11,
2012-11,12,
2012-12,13,
2013-01,14,
2013-02,14,
2013-03,14,
2013-04,16,
2013-05,15,
2013-06,12,
2013-07,13,
2013-08,12,
2013-09,11,
2013-10,9,
2013-11,9,
2013-12,8,
2014-01,8,
2014-02,8,
2014-03,8,
2014-04,8,
2014-05,7,
2014-06,7,
2014-07,7,
2014-08,7,
2014-09,7,
2014-10,7,
2014-11,7,
