"",BBK01.CEFJ0K,BBK01.CEFJ0K_FLAGS
"",Unlisted shares  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:23,
1999-01,9.7,
1999-04,10.3,
1999-07,10.5,
1999-10,20.9,
2000-01,23.1,
2000-04,22.8,
2000-07,23.4,
2000-10,27.3,
2001-01,27.8,
2001-04,29.0,
2001-07,27.9,
2001-10,30.7,
2002-01,34.7,
2002-04,32.1,
2002-07,26.4,
2002-10,25.6,
2003-01,23.5,
2003-04,27.1,
2003-07,27.7,
2003-10,29.3,
2004-01,28.7,
2004-04,28.3,
2004-07,28.0,
2004-10,35.5,
2005-01,36.4,
2005-04,36.8,
2005-07,41.8,
2005-10,41.2,
2006-01,106.1,
2006-04,106.7,
2006-07,111.4,
2006-10,113.3,
2007-01,114.5,
2007-04,119.1,
2007-07,116.7,
2007-10,121.5,
2008-01,126.4,
2008-04,126.2,
2008-07,125.5,
2008-10,122.2,
2009-01,120.5,
2009-04,122.9,
2009-07,125.0,
2009-10,123.7,
2010-01,128.6,
2010-04,132.5,
2010-07,130.3,
2010-10,132.5,
2011-01,133.1,
2011-04,135.0,
2011-07,134.3,
2011-10,135.3,
2012-01,139.2,
2012-04,140.6,
2012-07,141.5,
2012-10,140.1,
2013-01,143.2,
2013-04,142.5,
2013-07,143.9,
2013-10,144.5,
2014-01,147.7,
2014-04,150.5,
2014-07,154.3,
