"",BBFN1.M.DE.N.1.L.FI.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FI.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1990-06,0.056,
1990-07,0.059,
1990-08,0.048,
1990-09,0.051,
1990-10,0.047,
1990-11,0.043,
1990-12,0.051,
1991-01,0.060,
1991-02,0.058,
1991-03,0.064,
1991-04,0.065,
1991-05,0.065,
1991-06,0.062,
1991-07,0.070,
1991-08,0.155,
1991-09,0.153,
1991-10,0.148,
1991-11,0.143,
1991-12,0.153,
1992-01,0.079,
1992-02,0.092,
1992-03,0.088,
1992-04,0.124,
1992-05,0.077,
1992-06,0.096,
1992-07,0.103,
1992-08,0.074,
1992-09,0.096,
1992-10,0.101,
1992-11,0.076,
1992-12,0.063,
1993-01,0.059,
1993-02,0.078,
1993-03,0.075,
1993-04,0.076,
1993-05,0.085,
1993-06,0.088,
1993-07,0.093,
1993-08,0.085,
1993-09,0.078,
1993-10,0.085,
1993-11,0.078,
1993-12,0.250,
1994-01,0.094,
1994-02,0.109,
1994-03,0.127,
1994-04,0.155,
1994-05,0.152,
1994-06,0.149,
1994-07,0.155,
1994-08,0.172,
1994-09,0.185,
1994-10,0.187,
1994-11,0.186,
1994-12,0.161,
1995-01,0.165,
1995-02,0.173,
1995-03,0.165,
1995-04,0.165,
1995-05,0.170,
1995-06,0.174,
1995-07,0.167,
1995-08,0.169,
1995-09,0.211,
1995-10,0.209,
1995-11,0.203,
1995-12,0.172,
1996-01,0.191,
1996-02,0.169,
1996-03,0.178,
1996-04,0.167,
1996-05,0.170,
1996-06,0.139,
1996-07,0.154,
1996-08,0.124,
1996-09,0.118,
1996-10,0.122,
1996-11,0.128,
1996-12,0.133,
1997-01,0.144,
1997-02,0.232,
1997-03,0.246,
1997-04,0.223,
1997-05,0.240,
1997-06,0.239,
1997-07,0.231,
1997-08,0.239,
1997-09,0.231,
1997-10,0.260,
1997-11,0.356,
1997-12,0.177,
1998-01,0.184,
1998-02,0.194,
1998-03,0.194,
1998-04,0.199,
1998-05,0.206,
1998-06,0.196,
1998-07,0.218,
1998-08,0.269,
1998-09,0.270,
1998-10,0.207,
1998-11,0.270,
1998-12,0.307,
1999-01,0.391,
1999-02,0.390,
1999-03,0.411,
1999-04,0.399,
1999-05,0.397,
1999-06,0.451,
1999-07,0.409,
1999-08,0.457,
1999-09,0.467,
1999-10,0.473,
1999-11,0.471,
1999-12,0.439,
2000-01,0.451,
2000-02,0.506,
2000-03,0.417,
2000-04,0.460,
2000-05,0.505,
2000-06,0.555,
2000-07,0.554,
2000-08,0.579,
2000-09,3.412,
2000-10,3.386,
2000-11,3.428,
2000-12,3.381,
2001-01,3.374,
2001-02,3.413,
2001-03,3.378,
2001-04,3.399,
2001-05,3.431,
2001-06,3.511,
2001-07,3.478,
2001-08,3.492,
2001-09,3.468,
2001-10,3.344,
2001-11,3.380,
2001-12,3.356,
2002-01,0.775,
2002-02,0.796,
2002-03,0.759,
2002-04,0.749,
2002-05,0.766,
2002-06,0.745,
2002-07,0.744,
2002-08,0.750,
2002-09,0.765,
2002-10,0.754,
2002-11,0.711,
2002-12,0.692,
2003-01,1.647,
2003-02,1.649,
2003-03,1.633,
2003-04,1.728,
2003-05,1.742,
2003-06,1.820,
2003-07,1.801,
2003-08,1.796,
2003-09,1.846,
2003-10,1.871,
2003-11,1.894,
2003-12,1.485,
2004-01,1.513,
2004-02,1.398,
2004-03,1.395,
2004-04,1.301,
2004-05,1.450,
2004-06,1.495,
2004-07,1.512,
2004-08,1.496,
2004-09,1.489,
2004-10,1.509,
2004-11,1.540,
2004-12,1.490,
2005-01,1.505,
2005-02,1.563,
2005-03,1.408,
2005-04,1.645,
2005-05,0.982,
2005-06,1.042,
2005-07,1.110,
2005-08,1.084,
2005-09,1.066,
2005-10,1.126,
2005-11,1.166,
2005-12,1.187,
2006-01,1.172,
2006-02,1.180,
2006-03,0.881,
2006-04,1.145,
2006-05,1.108,
2006-06,0.943,
2006-07,0.901,
2006-08,0.944,
2006-09,0.925,
2006-10,0.907,
2006-11,0.961,
2006-12,1.049,
2007-01,0.910,
2007-02,1.340,
2007-03,1.384,
2007-04,1.407,
2007-05,1.413,
2007-06,1.405,
2007-07,1.502,
2007-08,1.548,
2007-09,1.517,
2007-10,1.341,
2007-11,1.351,
2007-12,1.321,
2008-01,0.812,
2008-02,0.817,
2008-03,0.814,
2008-04,0.788,
2008-05,0.766,
2008-06,0.781,
2008-07,0.785,
2008-08,0.785,
2008-09,0.826,
2008-10,0.823,
2008-11,0.867,
2008-12,0.909,
2009-01,0.916,
2009-02,0.957,
2009-03,0.852,
2009-04,0.818,
2009-05,0.845,
2009-06,0.881,
2009-07,0.890,
2009-08,1.432,
2009-09,1.425,
2009-10,1.568,
2009-11,1.198,
2009-12,1.074,
2010-01,1.105,
2010-02,1.081,
2010-03,1.145,
2010-04,1.156,
2010-05,1.215,
2010-06,1.233,
2010-07,1.294,
2010-08,1.315,
2010-09,1.771,
2010-10,1.789,
2010-11,1.792,
2010-12,1.802,
2011-01,1.856,
2011-02,1.859,
2011-03,1.882,
2011-04,0.733,
2011-05,0.771,
2011-06,0.684,
2011-07,0.734,
2011-08,1.362,
2011-09,1.394,
2011-10,1.364,
2011-11,1.391,
2011-12,1.323,
2012-01,0.997,
2012-02,1.316,
2012-03,2.199,
2012-04,2.212,
2012-05,2.805,
2012-06,3.456,
2012-07,3.033,
2012-08,6.231,
2012-09,7.573,
2012-10,7.146,
2012-11,6.748,
2012-12,7.306,
2013-01,8.978,
2013-02,6.287,
2013-03,7.517,
2013-04,6.459,
2013-05,6.496,
2013-06,8.672,
2013-07,8.154,
2013-08,7.741,
2013-09,8.127,
2013-10,9.963,
2013-11,9.811,
2013-12,8.524,
2014-01,10.819,
2014-02,10.144,
2014-03,9.871,
2014-04,9.136,
2014-05,9.695,
2014-06,9.854,
2014-07,7.530,
2014-08,8.276,
2014-09,9.288,
2014-10,10.310,
2014-11,9.684,
2014-12,8.214,
