"",BBK01.CEBA20,BBK01.CEBA20_FLAGS
"",Money market paper debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:40,
1991-01,4.1,
1991-04,4.2,
1991-07,4.1,
1991-10,5.8,
1992-01,4.9,
1992-04,6.0,
1992-07,11.5,
1992-10,5.8,
1993-01,21.0,
1993-04,20.7,
1993-07,22.1,
1993-10,23.0,
1994-01,24.1,
1994-04,23.4,
1994-07,20.0,
1994-10,14.6,
1995-01,13.6,
1995-04,13.7,
1995-07,15.0,
1995-10,15.0,
1996-01,17.0,
1996-04,16.5,
1996-07,15.9,
1996-10,14.0,
1997-01,13.3,
1997-04,14.0,
1997-07,16.4,
1997-10,17.5,
1998-01,21.1,
1998-04,22.9,
1998-07,26.0,
1998-10,29.8,
1999-01,25.4,
1999-04,33.8,
1999-07,45.7,
1999-10,74.9,
2000-01,75.6,
2000-04,87.7,
2000-07,90.1,
2000-10,90.2,
2001-01,80.2,
2001-04,66.1,
2001-07,58.4,
2001-10,50.8,
2002-01,58.9,
2002-04,60.0,
2002-07,70.7,
2002-10,71.0,
2003-01,86.9,
2003-04,81.9,
2003-07,70.4,
2003-10,71.3,
2004-01,69.8,
2004-04,72.3,
2004-07,69.9,
2004-10,63.1,
2005-01,69.4,
2005-04,72.2,
2005-07,73.7,
2005-10,62.8,
2006-01,71.5,
2006-04,69.7,
2006-07,71.5,
2006-10,70.6,
2007-01,83.7,
2007-04,87.7,
2007-07,96.5,
2007-10,112.7,
2008-01,126.8,
2008-04,130.8,
2008-07,132.3,
2008-10,169.2,
2009-01,122.7,
2009-04,108.0,
2009-07,105.8,
2009-10,120.7,
2010-01,125.6,
2010-04,124.9,
2010-07,124.1,
2010-10,108.9,
2011-01,106.2,
2011-04,91.4,
2011-07,102.5,
2011-10,101.9,
2012-01,96.7,
2012-04,94.4,
2012-07,87.3,
2012-10,82.3,
2013-01,92.5,
2013-04,91.6,
2013-07,94.6,
2013-10,74.9,
2014-01,84.1,
