"",BBAI3.Q.DE.N.V.LE.F52.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:45,
2005-10,42318,
2006-01,44520,
2006-04,43217,
2006-07,46542,
2006-10,48213,
2007-01,49326,
2007-04,50503,
2007-07,50671,
2007-10,48619,
2008-01,46842,
2008-04,46218,
2008-07,44998,
2008-10,42199,
2009-01,41431,
2009-04,43223,
2009-07,45030,
2009-10,45129,
2010-01,46781,
2010-04,47313,
2010-07,47802,
2010-10,47433,
2011-01,48010,
2011-04,48348,
2011-07,47258,
2011-10,47060,
2012-01,49547,
2012-04,49799,
2012-07,51430,
2012-10,52443,
2013-01,54223,
2013-04,53945,
2013-07,55261,
2013-10,55601,
2014-01,57257,
2014-04,59238,
2014-07,60315,
