"",BBAI3.Q.DE.N.V.BF90.F.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Total assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:58,
2005-10,65817,
2006-01,74412,
2006-04,77447,
2006-07,68626,
2006-10,61483,
2007-01,55291,
2007-04,45300,
2007-07,52384,
2007-10,66853,
2008-01,48215,
2008-04,49601,
2008-07,49609,
2008-10,71824,
2009-01,82389,
2009-04,84063,
2009-07,79617,
2009-10,79175,
2010-01,77546,
2010-04,95812,
2010-07,108159,
2010-10,89341,
2011-01,70711,
2011-04,78586,
2011-07,108987,
2011-10,113791,
2012-01,106595,
2012-04,121334,
2012-07,131320,
2012-10,124031,
2013-01,115297,
2013-04,96979,
2013-07,95258,
2013-10,75296,
2014-01,107537,
2014-04,138142,
2014-07,155905,
