"",BBAI3.Q.DE.N.V.LE.F51.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:27,
2005-10,240278,
2006-01,244805,
2006-04,245538,
2006-07,252311,
2006-10,261504,
2007-01,261385,
2007-04,263097,
2007-07,268179,
2007-10,275293,
2008-01,263993,
2008-04,255552,
2008-07,242287,
2008-10,228865,
2009-01,218940,
2009-04,210892,
2009-07,210223,
2009-10,210459,
2010-01,213798,
2010-04,215072,
2010-07,216779,
2010-10,223515,
2011-01,223719,
2011-04,222655,
2011-07,221091,
2011-10,221899,
2012-01,222087,
2012-04,221037,
2012-07,223515,
2012-10,223707,
2013-01,225195,
2013-04,224630,
2013-07,224253,
2013-10,225605,
2014-01,227165,
2014-04,227972,
2014-07,228691,
