"",BBK01.CEBS0I,BBK01.CEBS0I_FLAGS
"",Savings certificates debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:06,
1991-01,92.8,
1991-04,93.6,
1991-07,92.8,
1991-10,95.4,
1992-01,96.8,
1992-04,96.4,
1992-07,95.8,
1992-10,97.2,
1993-01,95.8,
1993-04,93.6,
1993-07,91.0,
1993-10,89.1,
1994-01,83.0,
1994-04,81.2,
1994-07,80.4,
1994-10,84.8,
1995-01,90.6,
1995-04,91.6,
1995-07,90.9,
1995-10,91.1,
1996-01,87.8,
1996-04,87.3,
1996-07,87.9,
1996-10,89.8,
1997-01,89.6,
1997-04,90.1,
1997-07,89.8,
1997-10,91.7,
1998-01,93.4,
1998-04,93.6,
1998-07,92.3,
1998-10,89.8,
1999-01,84.2,
1999-04,81.9,
1999-07,80.1,
1999-10,79.9,
2000-01,77.0,
2000-04,76.6,
2000-07,76.4,
2000-10,77.5,
2001-01,78.4,
2001-04,78.5,
2001-07,78.3,
2001-10,76.1,
2002-01,75.4,
2002-04,76.2,
2002-07,76.3,
2002-10,76.0,
2003-01,74.0,
2003-04,72.5,
2003-07,71.1,
2003-10,71.7,
2004-01,71.5,
2004-04,70.6,
2004-07,70.1,
2004-10,70.0,
2005-01,68.3,
2005-04,67.0,
2005-07,65.3,
2005-10,65.4,
2006-01,66.1,
2006-04,67.2,
2006-07,69.5,
2006-10,72.4,
2007-01,77.3,
2007-04,81.5,
2007-07,86.7,
2007-10,93.0,
2008-01,96.6,
2008-04,100.3,
2008-07,104.4,
2008-10,110.2,
2009-01,104.4,
2009-04,93.6,
2009-07,83.8,
2009-10,78.3,
2010-01,75.7,
2010-04,74.9,
2010-07,73.9,
2010-10,75.0,
2011-01,76.9,
2011-04,81.2,
2011-07,83.1,
2011-10,85.4,
2012-01,84.3,
2012-04,83.0,
2012-07,79.9,
2012-10,75.5,
2013-01,69.4,
2013-04,64.0,
2013-07,61.1,
2013-10,59.4,
2014-01,56.8,
