"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents affiliated enterprises arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:54,
1995-01,1.855,
1995-02,1.890,
1995-03,1.904,
1995-04,2.054,
1995-05,2.557,
1995-06,2.303,
1995-07,2.822,
1995-08,2.841,
1995-09,2.918,
1995-10,2.575,
1995-11,2.429,
1995-12,2.465,
1996-01,2.604,
1996-02,2.506,
1996-03,2.366,
1996-04,2.760,
1996-05,2.813,
1996-06,2.877,
1996-07,2.816,
1996-08,2.722,
1996-09,3.007,
1996-10,2.837,
1996-11,2.863,
1996-12,2.989,
1997-01,2.781,
1997-02,3.049,
1997-03,3.223,
1997-04,3.305,
1997-05,3.118,
1997-06,3.442,
1997-07,3.403,
1997-08,3.284,
1997-09,3.571,
1997-10,3.722,
1997-11,3.793,
1997-12,4.128,
1998-01,3.887,
1998-02,4.396,
1998-03,4.346,
1998-04,4.394,
1998-05,4.670,
1998-06,5.118,
1998-07,4.921,
1998-08,4.735,
1998-09,5.070,
1998-10,5.471,
1998-11,5.778,
1998-12,5.729,
1999-01,5.611,
1999-02,5.638,
1999-03,6.176,
1999-04,6.810,
1999-05,6.729,
1999-06,6.645,
1999-07,6.670,
1999-08,6.557,
1999-09,6.717,
1999-10,6.813,
1999-11,6.943,
1999-12,6.346,
2000-01,6.484,
2000-02,6.511,
2000-03,8.236,
2000-04,8.950,
2000-05,10.522,
2000-06,10.485,
2000-07,10.672,
2000-08,12.515,
2000-09,12.679,
2000-10,13.282,
2000-11,12.985,
2000-12,12.538,
2001-01,12.938,
2001-02,13.778,
2001-03,14.776,
2001-04,15.667,
2001-05,16.182,
2001-06,15.741,
2001-07,15.048,
2001-08,14.742,
2001-09,14.774,
2001-10,14.720,
2001-11,10.265,
2001-12,12.272,
2002-01,11.382,
2002-02,9.913,
2002-03,9.425,
2002-04,10.685,
2002-05,8.557,
2002-06,8.558,
2002-07,7.823,
2002-08,7.399,
2002-09,7.665,
2002-10,7.045,
2002-11,7.062,
2002-12,7.040,
2003-01,6.853,
2003-02,7.134,
2003-03,7.341,
2003-04,7.370,
2003-05,7.735,
2003-06,7.232,
2003-07,6.764,
2003-08,6.707,
2003-09,7.112,
2003-10,7.567,
2003-11,7.739,
2003-12,7.102,
2004-01,6.941,
2004-02,7.155,
2004-03,6.990,
2004-04,6.931,
2004-05,4.937,
2004-06,4.980,
2004-07,4.994,
2004-08,4.936,
2004-09,4.629,
2004-10,5.122,
2004-11,5.046,
2004-12,5.805,
2005-01,5.707,
2005-02,6.062,
2005-03,5.904,
2005-04,5.974,
2005-05,6.264,
2005-06,6.261,
2005-07,6.433,
2005-08,6.578,
2005-09,6.039,
2005-10,6.307,
2005-11,6.765,
2005-12,6.437,
2006-01,6.338,
2006-02,6.993,
2006-03,7.117,
2006-04,7.422,
2006-05,7.779,
2006-06,7.861,
2006-07,7.912,
2006-08,7.915,
2006-09,7.894,
2006-10,7.587,
2006-11,8.087,
2006-12,8.259,
2007-01,7.810,
2007-02,8.684,
2007-03,7.543,
2007-04,7.583,
2007-05,7.772,
2007-06,8.269,
2007-07,7.822,
2007-08,8.042,
2007-09,7.820,
2007-10,7.638,
2007-11,7.732,
2007-12,8.004,
2008-01,8.213,
2008-02,8.593,
2008-03,8.597,
2008-04,9.147,
2008-05,9.377,
2008-06,9.834,
2008-07,9.810,
2008-08,10.047,
2008-09,10.456,
2008-10,10.310,
2008-11,10.220,
2008-12,10.496,
2009-01,10.615,
2009-02,10.822,
2009-03,10.704,
2009-04,10.829,
2009-05,11.130,
2009-06,11.112,
2009-07,11.038,
2009-08,10.970,
2009-09,10.663,
2009-10,10.731,
2009-11,10.911,
2009-12,10.183,
2010-01,10.655,
2010-02,10.953,
2010-03,10.597,
2010-04,10.936,
2010-05,11.636,
2010-06,12.105,
2010-07,12.326,
2010-08,11.879,
2010-09,11.218,
2010-10,10.767,
2010-11,11.472,
2010-12,11.265,
2011-01,11.310,
2011-02,11.465,
2011-03,11.583,
2011-04,12.315,
2011-05,12.401,
2011-06,12.387,
2011-07,12.382,
2011-08,12.256,
2011-09,12.097,
2011-10,11.736,
2011-11,12.380,
2011-12,12.593,
2012-01,12.810,
2012-02,12.910,
2012-03,13.152,
2012-04,14.144,
2012-05,13.701,
2012-06,14.159,
2012-07,13.895,
2012-08,13.292,
2012-09,13.619,
2012-10,13.168,
2012-11,13.423,
2012-12,13.246,
2013-01,13.394,
2013-02,13.647,
2013-03,14.077,
2013-04,14.795,
2013-05,14.853,
2013-06,15.172,
2013-07,13.648,
2013-08,15.397,
2013-09,14.908,
2013-10,14.606,
2013-11,14.883,
2013-12,15.143,
2014-01,15.159,
2014-02,15.461,
2014-03,15.758,
2014-04,17.488,
2014-05,16.571,
2014-06,16.560,
2014-07,17.015,
2014-08,16.521,
2014-09,16.644,
2014-10,16.995,
2014-11,17.565,
2014-12,18.502,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
