"",BBK01.CEHE0N,BBK01.CEHE0N_FLAGS
"",short-term loans debtor: All sectors                      creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:28,
1991-01,5.1,
1991-04,5.5,
1991-07,1.6,
1991-10,-0.1,
1992-01,-4.0,
1992-04,2.9,
1992-07,4.8,
1992-10,0.4,
1993-01,2.6,
1993-04,0.3,
1993-07,-0.4,
1993-10,-1.0,
1994-01,0.8,
1994-04,1.7,
1994-07,0.9,
1994-10,-0.9,
1995-01,5.1,
1995-04,2.0,
1995-07,0.6,
1995-10,-0.6,
1996-01,0.4,
1996-04,3.2,
1996-07,2.1,
1996-10,7.8,
1997-01,0.1,
1997-04,7.0,
1997-07,-4.2,
1997-10,2.2,
1998-01,10.3,
1998-04,1.6,
1998-07,-4.1,
1998-10,2.2,
1999-01,8.7,
1999-04,17.1,
1999-07,-5.3,
1999-10,20.3,
2000-01,16.7,
2000-04,21.9,
2000-07,21.5,
2000-10,-4.7,
2001-01,5.7,
2001-04,9.1,
2001-07,0.8,
2001-10,-14.1,
2002-01,-3.6,
2002-04,-5.0,
2002-07,-2.7,
2002-10,-8.2,
2003-01,10.3,
2003-04,8.4,
2003-07,5.1,
2003-10,-14.8,
2004-01,3.8,
2004-04,-6.4,
2004-07,-1.2,
2004-10,-5.7,
2005-01,-9.5,
2005-04,-0.4,
2005-07,5.8,
2005-10,8.3,
2006-01,9.5,
2006-04,19.5,
2006-07,12.1,
2006-10,-3.4,
2007-01,38.9,
2007-04,27.0,
2007-07,2.6,
2007-10,-36.7,
2008-01,17.6,
2008-04,14.1,
2008-07,-18.0,
2008-10,4.5,
2009-01,-5.1,
2009-04,-5.5,
2009-07,-6.8,
2009-10,24.6,
2010-01,-16.6,
2010-04,12.9,
2010-07,30.8,
2010-10,84.8,
2011-01,-7.3,
2011-04,24.8,
2011-07,50.2,
2011-10,10.8,
2012-01,-7.9,
2012-04,22.4,
2012-07,-33.4,
2012-10,-12.5,
2013-01,22.7,
2013-04,39.3,
2013-07,-33.6,
2013-10,-28.8,
2014-01,9.4,
