"",BBSF2.M.1.S.00000.GEL01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEL01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
1998-12,2218,
1999-01,2218,
1999-02,2218,
1999-03,2218,
1999-04,2218,
1999-05,2218,
1999-06,2218,
1999-07,2246,
1999-08,2246,
1999-09,2246,
1999-10,2246,
1999-11,2246,
1999-12,2246,
2000-01,2246,
2000-02,2246,
2000-03,2028,
2000-04,2028,
2000-05,2028,
2000-06,2028,
2000-07,2028,
2000-08,2028,
2000-09,2028,
2000-10,2028,
2000-11,1745,
2000-12,1745,
2001-01,6745,
2001-02,6745,
2001-03,6745,
2001-04,6745,
2001-05,6745,
2001-06,6745,
2001-07,6745,
2001-08,6745,
2001-09,6745,
2001-10,6745,
2001-11,6745,
2001-12,6745,
2002-01,11745,
2002-02,11745,
2002-03,11745,
2002-04,11745,
2002-05,9745,
2002-06,9745,
2002-07,9745,
2002-08,12270,
2002-09,16270,
2002-10,16270,
2002-11,16270,
2002-12,15796,
2003-01,15871,
2003-02,16881,
2003-03,16881,
2003-04,16881,
2003-05,16881,
2003-06,16963,
2003-07,16963,
2003-08,18763,
2003-09,18763,
2003-10,20413,
2003-11,19964,
2003-12,20013,
2004-01,20014,
2004-02,21640,
2004-03,21640,
2004-04,21629,
2004-05,25635,
2004-06,25799,
2004-07,25797,
2004-08,25797,
2004-09,25965,
2004-10,25965,
2004-11,25600,
2004-12,23741,
2005-01,23226,
2005-02,22826,
2005-03,25327,
2005-04,22318,
2005-05,22123,
2005-06,24142,
2005-07,25142,
2005-08,25204,
2005-09,26283,
2005-10,26286,
2005-11,26104,
2005-12,21727,
2006-01,21340,
2006-02,20947,
2006-03,20972,
2006-04,20972,
2006-05,20318,
2006-06,20447,
2006-07,20451,
2006-08,20466,
2006-09,16738,
2006-10,16738,
2006-11,16738,
2006-12,16740,
2007-01,16744,
2007-02,16726,
2007-03,16728,
2007-04,28728,
2007-05,28729,
2007-06,28822,
2007-07,28977,
2007-08,28978,
2007-09,28976,
2007-10,28723,
2007-11,28722,
2007-12,28105,
2008-01,28107,
2008-02,28107,
2008-03,28106,
2008-04,28105,
2008-05,28117,
2008-06,28306,
2008-07,28306,
2008-08,28307,
2008-09,28306,
2008-10,28307,
2008-11,28306,
2008-12,28315,
2009-01,27268,
2009-02,27267,
2009-03,27267,
2009-04,25354,
2009-05,25354,
2009-06,25338,
2009-07,25337,
2009-08,23103,
2009-09,26865,
2009-10,26864,
2009-11,26863,
2009-12,26867,
2010-01,26868,
2010-02,26867,
2010-03,26867,
2010-04,26867,
2010-05,25042,
2010-06,25043,
2010-07,23086,
2010-08,22574,
2010-09,24415,
2010-10,19330,
2010-11,16110,
2010-12,16188,
2011-01,16238,
2011-02,16188,
2011-03,17187,
2011-04,17187,
2011-05,17186,
2011-06,17185,
2011-07,18683,
2011-08,18683,
2011-09,18683,
2011-10,18682,
2011-11,20181,
2011-12,20185,
2012-01,20187,
2012-02,20187,
2012-03,18855,
2012-04,18858,
2012-05,18858,
2012-06,21153,
2012-07,123277,
2012-08,119276,
2012-09,114885,
2012-10,119071,
2012-11,193878,
2012-12,213742,
2013-01,483745,
2013-02,479744,
2013-03,479843,
2013-04,1380332,
2013-05,1379332,
2013-06,1361079,
2013-07,1361105,
2013-08,1361106,
2013-09,1357680,
2013-10,1352840,
2013-11,1352839,
2013-12,1347399,
2014-01,1347401,
2014-02,1347400,
2014-03,1347280,
2014-04,1347279,
2014-05,1346444,
2014-06,1346444,
2014-07,1346444,
2014-08,1346405,
2014-09,1346407,
2014-10,1346407,
2014-11,1346406,
