"",BBAI3.Q.DE.N.V.LE.F51M.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:36,
2005-10,6190,
2006-01,5755,
2006-04,5703,
2006-07,5775,
2006-10,6166,
2007-01,5815,
2007-04,5582,
2007-07,5772,
2007-10,5895,
2008-01,6120,
2008-04,6003,
2008-07,6066,
2008-10,6352,
2009-01,6440,
2009-04,6213,
2009-07,6381,
2009-10,6545,
2010-01,6950,
2010-04,6911,
2010-07,6779,
2010-10,6895,
2011-01,7049,
2011-04,6953,
2011-07,7221,
2011-10,6914,
2012-01,7138,
2012-04,7319,
2012-07,7516,
2012-10,6161,
2013-01,7827,
2013-04,7839,
2013-07,8090,
2013-10,8291,
2014-01,8211,
2014-04,8105,
2014-07,8281,
