"",BBAI3.Q.DE.N.V.LE.F29AB.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:23,
2005-10,455275,
2006-01,462514,
2006-04,472196,
2006-07,480426,
2006-10,485620,
2007-01,495042,
2007-04,505209,
2007-07,512606,
2007-10,519123,
2008-01,525287,
2008-04,531816,
2008-07,533928,
2008-10,531403,
2009-01,539315,
2009-04,546535,
2009-07,549411,
2009-10,546088,
2010-01,546995,
2010-04,543780,
2010-07,542676,
2010-10,536713,
2011-01,538058,
2011-04,538581,
2011-07,537527,
2011-10,531799,
2012-01,527461,
2012-04,524334,
2012-07,522438,
2012-10,514291,
2013-01,513852,
2013-04,512084,
2013-07,507770,
2013-10,502120,
2014-01,495537,
2014-04,492385,
2014-07,488175,
