"",BBK01.CEFI0K,BBK01.CEFI0K_FLAGS
"",Listed shares               debtor: Total                              creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:22,
1999-01,80.9,
1999-04,86.2,
1999-07,87.5,
1999-10,102.4,
2000-01,112.8,
2000-04,111.7,
2000-07,114.5,
2000-10,94.3,
2001-01,96.1,
2001-04,100.2,
2001-07,96.3,
2001-10,84.2,
2002-01,95.2,
2002-04,88.1,
2002-07,72.4,
2002-10,58.9,
2003-01,54.1,
2003-04,62.2,
2003-07,63.8,
2003-10,62.2,
2004-01,61.1,
2004-04,60.2,
2004-07,59.5,
2004-10,54.5,
2005-01,55.8,
2005-04,56.6,
2005-07,64.2,
2005-10,57.4,
2006-01,43.4,
2006-04,45.2,
2006-07,48.3,
2006-10,52.0,
2007-01,51.4,
2007-04,50.9,
2007-07,46.5,
2007-10,46.4,
2008-01,40.4,
2008-04,36.6,
2008-07,31.7,
2008-10,22.1,
2009-01,19.7,
2009-04,19.8,
2009-07,20.8,
2009-10,22.1,
2010-01,22.3,
2010-04,21.1,
2010-07,21.2,
2010-10,21.1,
2011-01,21.3,
2011-04,19.0,
2011-07,16.0,
2011-10,13.2,
2012-01,13.5,
2012-04,13.0,
2012-07,12.9,
2012-10,17.2,
2013-01,14.4,
2013-04,14.3,
2013-07,14.1,
2013-10,14.6,
2014-01,15.4,
2014-04,15.1,
2014-07,14.5,
