"",BBAI3.Q.DE.N.V.LE.N.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:47,
2005-10,9822,
2006-01,9853,
2006-04,10097,
2006-07,9763,
2006-10,9836,
2007-01,9800,
2007-04,9820,
2007-07,9898,
2007-10,9970,
2008-01,8892,
2008-04,8872,
2008-07,8682,
2008-10,8563,
2009-01,8615,
2009-04,8594,
2009-07,8556,
2009-10,8743,
2010-01,8776,
2010-04,8734,
2010-07,8484,
2010-10,8466,
2011-01,8568,
2011-04,8757,
2011-07,8696,
2011-10,8667,
2012-01,8750,
2012-04,8915,
2012-07,8963,
2012-10,8973,
2013-01,9072,
2013-04,9168,
2013-07,9191,
2013-10,9180,
2014-01,9392,
2014-04,9428,
2014-07,9780,
