"",BBK01.CEFFCK,BBK01.CEFFCK_FLAGS
"",long-term loans  debtor: General government                                                         creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:21,
1999-01,8.2,
1999-04,8.4,
1999-07,8.5,
1999-10,12.8,
2000-01,13.1,
2000-04,13.4,
2000-07,13.6,
2000-10,7.8,
2001-01,7.9,
2001-04,8.2,
2001-07,8.4,
2001-10,12.8,
2002-01,13.2,
2002-04,13.4,
2002-07,13.7,
2002-10,16.9,
2003-01,17.4,
2003-04,18.1,
2003-07,19.1,
2003-10,22.7,
2004-01,24.1,
2004-04,25.2,
2004-07,25.9,
2004-10,38.4,
2005-01,39.0,
2005-04,39.7,
2005-07,40.1,
2005-10,46.6,
2006-01,48.2,
2006-04,49.6,
2006-07,50.9,
2006-10,54.6,
2007-01,55.5,
2007-04,56.3,
2007-07,57.3,
2007-10,55.4,
2008-01,56.8,
2008-04,58.3,
2008-07,59.7,
2008-10,61.1,
2009-01,65.4,
2009-04,70.1,
2009-07,74.9,
2009-10,79.7,
2010-01,81.9,
2010-04,82.3,
2010-07,82.5,
2010-10,80.8,
2011-01,82.1,
2011-04,84.0,
2011-07,84.5,
2011-10,85.8,
2012-01,87.2,
2012-04,89.7,
2012-07,89.4,
2012-10,89.5,
2013-01,87.4,
2013-04,86.9,
2013-07,87.4,
2013-10,89.1,
2014-01,90.4,
2014-04,90.6,
2014-07,91.2,
