"",BBAI3.Q.DE.N.V.LE.F29AAA.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:16,
2005-10,23322,
2006-01,24082,
2006-04,22510,
2006-07,22695,
2006-10,27904,
2007-01,26843,
2007-04,26289,
2007-07,22834,
2007-10,27800,
2008-01,31819,
2008-04,28202,
2008-07,25663,
2008-10,29522,
2009-01,34173,
2009-04,27300,
2009-07,28330,
2009-10,29112,
2010-01,27896,
2010-04,26582,
2010-07,23840,
2010-10,23359,
2011-01,26216,
2011-04,27488,
2011-07,30278,
2011-10,30077,
2012-01,30512,
2012-04,30111,
2012-07,29268,
2012-10,30907,
2013-01,30978,
2013-04,27887,
2013-07,25757,
2013-10,24757,
2014-01,30547,
2014-04,30343,
2014-07,27328,
