"",BBK01.CEFK0K,BBK01.CEFK0K_FLAGS
"",Other equity  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:24,
1999-01,49.4,
1999-04,49.5,
1999-07,50.6,
1999-10,53.7,
2000-01,54.7,
2000-04,56.1,
2000-07,59.8,
2000-10,60.9,
2001-01,61.7,
2001-04,63.5,
2001-07,61.8,
2001-10,78.6,
2002-01,89.5,
2002-04,93.8,
2002-07,97.4,
2002-10,99.6,
2003-01,92.8,
2003-04,95.5,
2003-07,95.5,
2003-10,95.3,
2004-01,93.1,
2004-04,92.3,
2004-07,94.1,
2004-10,89.8,
2005-01,89.7,
2005-04,89.1,
2005-07,87.6,
2005-10,103.3,
2006-01,35.6,
2006-04,37.3,
2006-07,34.6,
2006-10,35.1,
2007-01,34.6,
2007-04,34.1,
2007-07,47.0,
2007-10,53.2,
2008-01,41.7,
2008-04,36.8,
2008-07,42.1,
2008-10,50.8,
2009-01,46.2,
2009-04,37.8,
2009-07,37.2,
2009-10,37.1,
2010-01,34.7,
2010-04,27.5,
2010-07,31.9,
2010-10,37.2,
2011-01,39.3,
2011-04,37.2,
2011-07,39.1,
2011-10,36.8,
2012-01,35.5,
2012-04,30.5,
2012-07,30.0,
2012-10,34.1,
2013-01,32.1,
2013-04,32.0,
2013-07,31.4,
2013-10,27.3,
2014-01,25.0,
2014-04,23.3,
2014-07,19.4,
