"",BBAI3.Q.DE.N.V.LE.F4.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:26,
2005-10,240774,
2006-01,243118,
2006-04,244273,
2006-07,245744,
2006-10,244842,
2007-01,245543,
2007-04,247063,
2007-07,249407,
2007-10,248228,
2008-01,244068,
2008-04,244965,
2008-07,244487,
2008-10,243268,
2009-01,250462,
2009-04,255112,
2009-07,256584,
2009-10,259753,
2010-01,264204,
2010-04,265965,
2010-07,266923,
2010-10,267153,
2011-01,269615,
2011-04,270859,
2011-07,272182,
2011-10,271906,
2012-01,275531,
2012-04,275563,
2012-07,277008,
2012-10,278368,
2013-01,280280,
2013-04,280499,
2013-07,284032,
2013-10,285194,
2014-01,286245,
2014-04,288058,
2014-07,288203,
