"",BBK01.CEFX5I,BBK01.CEFX5I_FLAGS
"",Non-life insurance technical reserves  debtor: Total                                                          creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:52,
1999-01,112.7,
1999-04,114.4,
1999-07,116.4,
1999-10,121.7,
2000-01,125.1,
2000-04,126.8,
2000-07,128.6,
2000-10,130.7,
2001-01,134.1,
2001-04,135.8,
2001-07,138.6,
2001-10,141.6,
2002-01,146.3,
2002-04,147.9,
2002-07,150.1,
2002-10,151.0,
2003-01,153.5,
2003-04,155.4,
2003-07,157.1,
2003-10,160.6,
2004-01,163.2,
2004-04,164.2,
2004-07,165.8,
2004-10,172.9,
2005-01,176.0,
2005-04,177.4,
2005-07,179.7,
2005-10,186.8,
2006-01,194.0,
2006-04,197.6,
2006-07,201.2,
2006-10,203.7,
2007-01,205.2,
2007-04,206.7,
2007-07,208.2,
2007-10,218.1,
2008-01,220.8,
2008-04,223.4,
2008-07,226.0,
2008-10,229.4,
2009-01,232.3,
2009-04,235.2,
2009-07,238.0,
2009-10,241.0,
2010-01,244.2,
2010-04,247.2,
2010-07,250.2,
2010-10,252.4,
2011-01,256.2,
2011-04,259.9,
2011-07,263.6,
2011-10,266.2,
2012-01,270.5,
2012-04,274.7,
2012-07,278.9,
2012-10,283.1,
2013-01,287.6,
2013-04,292.1,
2013-07,296.6,
2013-10,301.1,
2014-01,305.5,
2014-04,309.7,
2014-07,313.9,
