"",BBK01.CELA02,BBK01.CELA02_FLAGS
"",short-term debt securities                                                  debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:43,
1999-01,1.4,
1999-04,0.3,
1999-07,6.2,
1999-10,8.9,
2000-01,1.2,
2000-04,2.3,
2000-07,0.3,
2000-10,0.4,
2001-01,-2.9,
2001-04,-6.2,
2001-07,-1.4,
2001-10,-9.2,
2002-01,1.8,
2002-04,-0.2,
2002-07,6.2,
2002-10,-3.1,
2003-01,5.0,
2003-04,-1.5,
2003-07,-1.2,
2003-10,-0.2,
2004-01,-2.4,
2004-04,3.7,
2004-07,6.9,
2004-10,-3.1,
2005-01,-3.9,
2005-04,0.3,
2005-07,4.5,
2005-10,-0.5,
2006-01,0.8,
2006-04,9.8,
2006-07,-1.1,
2006-10,-2.4,
2007-01,10.4,
2007-04,8.9,
2007-07,5.4,
2007-10,25.6,
2008-01,4.3,
2008-04,17.9,
2008-07,3.0,
2008-10,-5.8,
2009-01,-27.3,
2009-04,-13.4,
2009-07,-5.0,
2009-10,5.6,
2010-01,-4.7,
2010-04,6.5,
2010-07,-2.9,
2010-10,0.6,
2011-01,-3.5,
2011-04,0.1,
2011-07,-3.3,
2011-10,-17.0,
2012-01,3.1,
2012-04,-2.1,
2012-07,-3.4,
2012-10,-6.7,
2013-01,0.6,
2013-04,1.8,
2013-07,-0.3,
2013-10,-2.3,
2014-01,4.6,
2014-04,2.4,
2014-07,-5.1,
