"",BBK01.CEL00J,BBK01.CEL00J_FLAGS
"",Total                      debtor: Total                    creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:54,
1999-01,44.1,
1999-04,39.8,
1999-07,25.9,
1999-10,39.2,
2000-01,35.2,
2000-04,27.9,
2000-07,19.1,
2000-10,28.3,
2001-01,38.6,
2001-04,24.1,
2001-07,24.1,
2001-10,25.3,
2002-01,40.6,
2002-04,20.2,
2002-07,23.9,
2002-10,30.1,
2003-01,47.4,
2003-04,31.0,
2003-07,30.0,
2003-10,31.6,
2004-01,41.4,
2004-04,31.9,
2004-07,29.2,
2004-10,28.5,
2005-01,43.3,
2005-04,30.9,
2005-07,27.2,
2005-10,32.6,
2006-01,42.4,
2006-04,29.9,
2006-07,26.5,
2006-10,23.5,
2007-01,44.0,
2007-04,22.8,
2007-07,21.4,
2007-10,24.5,
2008-01,41.6,
2008-04,30.8,
2008-07,21.3,
2008-10,25.4,
2009-01,48.0,
2009-04,38.2,
2009-07,32.2,
2009-10,30.6,
2010-01,49.6,
2010-04,33.4,
2010-07,31.0,
2010-10,33.5,
2011-01,44.8,
2011-04,32.9,
2011-07,30.0,
2011-10,35.8,
2012-01,44.4,
2012-04,37.5,
2012-07,29.6,
2012-10,36.0,
2013-01,45.9,
2013-04,36.3,
2013-07,31.3,
2013-10,32.4,
2014-01,45.9,
2014-04,36.0,
2014-07,34.4,
