"",BBK01.CEBD0B,BBK01.CEBD0B_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:36,
1991-01,3.4,
1991-04,3.2,
1991-07,3.1,
1991-10,3.8,
1992-01,3.4,
1992-04,3.6,
1992-07,4.0,
1992-10,4.3,
1993-01,4.4,
1993-04,4.6,
1993-07,4.7,
1993-10,4.7,
1994-01,5.5,
1994-04,5.9,
1994-07,5.1,
1994-10,5.3,
1995-01,3.3,
1995-04,3.6,
1995-07,3.6,
1995-10,5.6,
1996-01,3.7,
1996-04,4.0,
1996-07,4.1,
1996-10,6.8,
1997-01,4.5,
1997-04,4.9,
1997-07,4.6,
1997-10,7.0,
1998-01,4.9,
1998-04,5.5,
1998-07,4.3,
1998-10,7.1,
1999-01,6.5,
1999-04,6.4,
1999-07,6.2,
1999-10,8.5,
2000-01,7.9,
2000-04,7.0,
2000-07,5.4,
2000-10,9.2,
2001-01,8.0,
2001-04,8.7,
2001-07,9.1,
2001-10,11.8,
2002-01,10.1,
2002-04,11.1,
2002-07,13.1,
2002-10,15.6,
2003-01,18.4,
2003-04,18.7,
2003-07,15.0,
2003-10,14.5,
2004-01,17.4,
2004-04,13.4,
2004-07,16.5,
2004-10,11.5,
2005-01,15.5,
2005-04,14.5,
2005-07,12.8,
2005-10,12.8,
2006-01,14.1,
2006-04,13.8,
2006-07,12.6,
2006-10,15.9,
2007-01,13.6,
2007-04,15.0,
2007-07,12.7,
2007-10,14.2,
2008-01,15.2,
2008-04,14.7,
2008-07,14.0,
2008-10,17.8,
2009-01,20.7,
2009-04,17.5,
2009-07,18.5,
2009-10,19.3,
2010-01,17.0,
2010-04,17.5,
2010-07,15.8,
2010-10,16.1,
2011-01,17.8,
2011-04,19.7,
2011-07,21.2,
2011-10,22.3,
2012-01,22.1,
2012-04,23.5,
2012-07,21.7,
2012-10,23.9,
2013-01,26.0,
2013-04,22.6,
2013-07,22.7,
2013-10,19.6,
2014-01,26.6,
