"",BBK01.CEB4B0,BBK01.CEB4B0_FLAGS
"",Loans debtor: Insurance corporations                            creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:24,
1991-01,21.5,
1991-04,22.0,
1991-07,22.2,
1991-10,23.4,
1992-01,24.5,
1992-04,25.5,
1992-07,25.4,
1992-10,25.8,
1993-01,26.6,
1993-04,27.2,
1993-07,27.9,
1993-10,28.2,
1994-01,29.0,
1994-04,30.2,
1994-07,30.0,
1994-10,31.5,
1995-01,34.5,
1995-04,34.6,
1995-07,35.2,
1995-10,35.2,
1996-01,37.0,
1996-04,38.0,
1996-07,37.6,
1996-10,38.9,
1997-01,39.8,
1997-04,41.3,
1997-07,41.9,
1997-10,44.5,
1998-01,45.2,
1998-04,46.2,
1998-07,47.5,
1998-10,50.7,
1999-01,51.4,
1999-04,52.8,
1999-07,53.5,
1999-10,56.1,
2000-01,56.9,
2000-04,57.9,
2000-07,58.7,
2000-10,60.1,
2001-01,61.9,
2001-04,62.8,
2001-07,65.4,
2001-10,70.3,
2002-01,71.9,
2002-04,73.2,
2002-07,76.1,
2002-10,80.9,
2003-01,83.0,
2003-04,86.6,
2003-07,86.8,
2003-10,88.7,
2004-01,92.0,
2004-04,92.4,
2004-07,93.9,
2004-10,94.0,
2005-01,85.4,
2005-04,83.2,
2005-07,87.7,
2005-10,83.8,
2006-01,85.9,
2006-04,86.0,
2006-07,83.7,
2006-10,85.3,
2007-01,83.8,
2007-04,85.1,
2007-07,87.0,
2007-10,81.3,
2008-01,80.6,
2008-04,79.0,
2008-07,79.2,
2008-10,72.1,
2009-01,70.8,
2009-04,69.2,
2009-07,68.0,
2009-10,67.4,
2010-01,69.3,
2010-04,69.5,
2010-07,71.2,
2010-10,66.1,
2011-01,63.6,
2011-04,63.2,
2011-07,63.6,
2011-10,64.3,
2012-01,65.2,
2012-04,66.9,
2012-07,67.2,
2012-10,67.9,
2013-01,69.2,
2013-04,69.2,
2013-07,66.5,
2013-10,68.7,
2014-01,70.3,
