"",BBK01.SUD250,BBK01.SUD250_FLAGS
"",New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 3 months and up to 1 year,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:44,
2010-06,7671,
2010-07,5995,
2010-08,3044,
2010-09,4412,
2010-10,7076,
2010-11,4693,
2010-12,8761,
2011-01,5347,
2011-02,4394,
2011-03,4890,
2011-04,3672,
2011-05,3868,
2011-06,6937,
2011-07,7500,
2011-08,3408,
2011-09,3643,
2011-10,3741,
2011-11,3470,
2011-12,7020,
2012-01,3768,
2012-02,2597,
2012-03,3848,
2012-04,3592,
2012-05,3032,
2012-06,5957,
2012-07,4672,
2012-08,2382,
2012-09,6114,
2012-10,3597,
2012-11,4798,
2012-12,6005,
2013-01,4538,
2013-02,2728,
2013-03,3513,
2013-04,2576,
2013-05,3146,
2013-06,8849,
2013-07,4559,
2013-08,2622,
2013-09,4141,
2013-10,3612,
2013-11,3835,
2013-12,7136,
2014-01,4376,
2014-02,3593,
2014-03,3741,
2014-04,4000,
2014-05,3357,
2014-06,5799,
2014-07,4043,
2014-08,2398,
2014-09,3525,
2014-10,3742,
2014-11,3265,
2014-12,7701,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. p = Provisional,
