"",BBEX3.M.NPR.USD.CA.AB.A01,BBEX3.M.NPR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Nepal * / USD 1 = NPR ... (selling),
unit,NPR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:52,
1990-01,28.60,
1990-02,28.70,
1990-03,29.00,
1990-04,29.20,
1990-05,29.30,
1990-06,29.50,
1990-07,29.40,
1990-08,29.50,
1990-09,30.40,
1990-10,30.50,
1990-11,30.50,
1990-12,30.60,
1991-01,31.20,
1991-02,32.10,
1991-03,33.10,
1991-04,34.20,
1991-05,35.10,
1991-06,35.50,
1991-07,42.50,comment
1991-08,42.90,
1991-09,42.80,
1991-10,42.80,
1991-11,42.80,
1991-12,42.80,
1992-01,42.80,
1992-02,42.80,
1992-03,42.80,comment
1992-04,42.80,comment
1992-05,42.80,comment
1992-06,42.80,comment
1992-07,42.80,comment
1992-08,42.80,comment
1992-09,42.80,comment
1992-10,42.80,comment
1992-11,42.80,comment
1992-12,43.30,comment
1993-01,43.30,comment
1993-02,50.40,comment
1993-03,50.12,
1993-04,49.72,
1993-05,49.50,
1993-06,49.48,
1993-07,49.48,
1993-08,49.48,
1993-09,49.48,
1993-10,49.48,
1993-11,49.48,
1993-12,49.48,
1994-01,49.48,
1994-02,49.48,
1994-03,49.48,
1994-04,49.50,
1994-05,49.53,
1994-06,49.59,
1994-07,49.59,
1994-08,49.64,
1994-09,49.85,
1994-10,49.85,
1994-11,49.88,
1994-12,50.12,
1995-01,50.14,
1995-02,50.41,
1995-03,50.63,
1995-04,50.63,
1995-05,50.63,
1995-06,50.67,
1995-07,51.25,
1995-08,52.00,
1995-09,54.50,
1995-10,56.25,
1995-11,56.17,
1995-12,56.25,
1996-01,57.25,
1996-02,56.28,
1996-03,55.80,
1996-04,55.80,
1996-05,56.30,
1996-06,56.30,
1996-07,57.30,
1996-08,57.30,
1996-09,57.30,
1996-10,57.30,
1996-11,57.30,
1996-12,57.30,
1997-01,57.30,
1997-02,57.30,
1997-03,57.30,
1997-04,57.30,
1997-05,57.30,
1997-06,57.30,
1997-07,57.30,
1997-08,58.05,
1997-09,59.05,
1997-10,59.05,
1997-11,61.85,
1997-12,63.60,
1998-01,62.60,
1998-02,63.20,
1998-03,63.70,
1998-04,63.70,
1998-05,66.25,
1998-06,68.65,
1998-07,68.25,
1998-08,68.65,
1998-09,68.65,
1998-10,68.25,
1998-11,68.00,
1998-12,68.00,
1999-01,68.00,
1999-02,68.00,
1999-03,68.00,
1999-04,68.65,
1999-05,68.55,
1999-06,68.80,
1999-07,68.80,
1999-08,69.05,
1999-09,69.05,
1999-10,69.05,
1999-11,69.05,
1999-12,69.05,
2000-01,69.30,
2000-02,69.30,
2000-03,69.30,
2000-04,69.30,
2000-05,70.70,
2000-06,71.10,
2000-07,71.35,
2000-08,72.90,
2000-09,73.60,
2000-10,74.40,
2000-11,74.65,
2000-12,74.65,
2001-01,74.35,
2001-02,74.35,
2001-03,74.60,
2001-04,75.10,
2001-05,75.10,
2001-06,75.10,
2001-07,75.40,
2001-08,75.40,
2001-09,76.60,
2001-10,76.85,
2001-11,76.85,
2001-12,77.05,
2002-01,77.05,
2002-02,78.05,
2002-03,77.95,
2002-04,78.35,
2002-05,78.60,
2002-06,78.60,
2002-07,78.60,
2002-08,78.60,
2002-09,78.59,
2002-10,78.59,
2002-11,78.59,
2002-12,78.34,
2003-01,78.34,
2003-02,78.34,
2003-03,78.09,
2003-04,77.86,
2003-05,76.84,
