"",BBQFS.M.U2.CORP.IMP_RSK_ES50._X.0000,BBQFS.M.U2.CORP.IMP_RSK_ES50._X.0000_FLAGS
"",Implied equity risk premium Euro Stoxx 50 (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:25,
2005-01,3.91,
2005-02,3.65,
2005-03,3.83,
2005-04,4.21,
2005-05,4.15,
2005-06,4.43,
2005-07,4.21,
2005-08,4.42,
2005-09,4.34,
2005-10,4.22,
2005-11,4.02,
2005-12,4.24,
2006-01,3.97,
2006-02,3.87,
2006-03,3.67,
2006-04,3.50,
2006-05,3.68,
2006-06,3.61,
2006-07,3.73,
2006-08,3.78,
2006-09,3.82,
2006-10,3.69,
2006-11,3.75,
2006-12,3.48,
2007-01,3.31,
2007-02,3.54,
2007-03,3.49,
2007-04,3.20,
2007-05,2.83,
2007-06,2.73,
2007-07,3.09,
2007-08,3.21,
2007-09,3.06,
2007-10,3.08,
2007-11,3.26,
2007-12,3.14,
2008-01,4.12,
2008-02,4.24,
2008-03,4.23,
2008-04,3.79,
2008-05,3.54,
2008-06,3.70,
2008-07,3.93,
2008-08,4.12,
2008-09,4.60,
2008-10,5.52,
2008-11,6.53,
2008-12,5.95,
2009-01,6.04,
2009-02,6.88,
2009-03,6.66,
2009-04,5.80,
2009-05,5.25,
2009-06,5.40,
2009-07,5.07,
2009-08,4.91,
2009-09,5.01,
2009-10,5.20,
2009-11,5.21,
2009-12,5.08,
2010-01,5.57,
2010-02,5.72,
2010-03,5.63,
2010-04,5.89,
2010-05,6.62,
2010-06,7.00,
2010-07,6.58,
2010-08,7.36,
2010-09,6.97,
2010-10,6.56,
2010-11,6.77,
2010-12,6.31,
2011-01,5.84,
2011-02,5.73,
2011-03,5.71,
2011-04,5.66,
2011-05,6.14,
2011-06,5.98,
2011-07,6.80,
2011-08,7.91,
2011-09,8.42,
2011-10,7.78,
2011-11,7.65,
2011-12,8.00,
2012-01,7.89,
2012-02,7.66,
2012-03,7.64,
2012-04,8.14,
2012-05,9.07,
2012-06,8.18,
2012-07,8.34,
2012-08,8.05,
2012-09,8.08,
2012-10,7.96,
2012-11,7.89,
2012-12,7.78,
2013-01,7.30,
2013-02,7.65,
2013-03,7.83,
2013-04,7.79,
2013-05,7.40,
2013-06,7.34,
2013-07,7.13,
2013-08,7.01,
2013-09,6.82,
2013-10,6.67,
2013-11,6.63,
2013-12,6.36,
2014-01,6.76,
2014-02,6.61,
2014-03,6.55,
2014-04,6.60,
2014-05,6.66,
2014-06,6.77,
2014-07,7.01,
2014-08,7.20,
2014-09,7.16,
2014-10,7.41,
"",Source: Bloomberg and Bundesbank calculations,
"",Methodology: Difference on the market-implied yield and government bonds. The marktet-implied yield is calculated on the basis of residual earnings ((return on equity minus cost of equity) * book value of equity in the previous period) and prices taken from stock indices,
