"",BBK01.CEH4N0,BBK01.CEH4N0_FLAGS
"",Loans debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:37,
1991-01,8.6,
1991-04,5.1,
1991-07,0.7,
1991-10,-2.0,
1992-01,3.5,
1992-04,4.2,
1992-07,1.0,
1992-10,0.2,
1993-01,4.1,
1993-04,1.8,
1993-07,0.8,
1993-10,1.7,
1994-01,4.8,
1994-04,1.1,
1994-07,1.3,
1994-10,5.0,
1995-01,3.7,
1995-04,7.1,
1995-07,2.5,
1995-10,5.5,
1996-01,7.2,
1996-04,7.6,
1996-07,3.7,
1996-10,17.4,
1997-01,23.1,
1997-04,12.0,
1997-07,3.9,
1997-10,14.2,
1998-01,23.4,
1998-04,9.5,
1998-07,14.8,
1998-10,-0.9,
1999-01,61.3,
1999-04,22.0,
1999-07,18.4,
1999-10,21.4,
2000-01,12.8,
2000-04,38.9,
2000-07,-0.1,
2000-10,-3.2,
2001-01,93.9,
2001-04,-11.9,
2001-07,0.4,
2001-10,-26.0,
2002-01,38.0,
2002-04,-11.5,
2002-07,27.0,
2002-10,-17.6,
2003-01,44.6,
2003-04,-20.9,
2003-07,12.7,
2003-10,9.4,
2004-01,38.8,
2004-04,-37.5,
2004-07,57.0,
2004-10,-18.3,
2005-01,16.8,
2005-04,-9.1,
2005-07,13.2,
2005-10,11.6,
2006-01,-8.1,
2006-04,5.2,
2006-07,35.4,
2006-10,-14.9,
2007-01,40.2,
2007-04,30.5,
2007-07,62.4,
2007-10,24.8,
2008-01,66.0,
2008-04,23.0,
2008-07,36.8,
2008-10,-15.1,
2009-01,26.9,
2009-04,30.3,
2009-07,-6.9,
2009-10,-5.3,
2010-01,45.8,
2010-04,77.7,
2010-07,47.1,
2010-10,39.7,
2011-01,13.7,
2011-04,16.8,
2011-07,132.2,
2011-10,-17.5,
2012-01,190.1,
2012-04,117.7,
2012-07,-31.3,
2012-10,-13.7,
2013-01,-49.6,
2013-04,0.6,
2013-07,-23.4,
2013-10,-71.4,
2014-01,-28.0,
