"",BBAI3.Q.DE.N.V.LE.F332A.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:42,
2005-10,522,
2006-01,557,
2006-04,502,
2006-07,362,
2006-10,354,
2007-01,735,
2007-04,502,
2007-07,472,
2007-10,526,
2008-01,484,
2008-04,465,
2008-07,433,
2008-10,475,
2009-01,506,
2009-04,517,
2009-07,500,
2009-10,398,
2010-01,451,
2010-04,369,
2010-07,331,
2010-10,299,
2011-01,325,
2011-04,273,
2011-07,371,
2011-10,408,
2012-01,642,
2012-04,528,
2012-07,612,
2012-10,492,
2013-01,218,
2013-04,177,
2013-07,198,
2013-10,126,
2014-01,170,
2014-04,160,
2014-07,151,
