"",BBK01.CEHD0I,BBK01.CEHD0I_FLAGS
"",Currency and transferable deposits\n debtor: All sectors                                           creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:48,
1991-01,-7.9,
1991-04,6.6,
1991-07,0.5,
1991-10,10.7,
1992-01,-6.4,
1992-04,7.2,
1992-07,4.3,
1992-10,20.1,
1993-01,-10.5,
1993-04,7.8,
1993-07,3.7,
1993-10,22.1,
1994-01,-13.5,
1994-04,8.6,
1994-07,-0.4,
1994-10,12.2,
1995-01,-13.0,
1995-04,7.7,
1995-07,2.8,
1995-10,15.7,
1996-01,-1.3,
1996-04,8.2,
1996-07,1.8,
1996-10,15.2,
1997-01,-2.9,
1997-04,6.5,
1997-07,0.8,
1997-10,6.6,
1998-01,2.3,
1998-04,8.5,
1998-07,-0.8,
1998-10,18.5,
1999-01,3.7,
1999-04,14.9,
1999-07,1.4,
1999-10,10.4,
2000-01,7.6,
2000-04,-5.4,
2000-07,-6.3,
2000-10,6.3,
2001-01,4.4,
2001-04,9.9,
2001-07,1.4,
2001-10,-6.8,
2002-01,19.3,
2002-04,24.4,
2002-07,8.9,
2002-10,30.7,
2003-01,16.8,
2003-04,20.5,
2003-07,10.7,
2003-10,17.6,
2004-01,9.2,
2004-04,13.8,
2004-07,5.2,
2004-10,16.4,
2005-01,10.8,
2005-04,16.3,
2005-07,6.3,
2005-10,16.8,
2006-01,2.5,
2006-04,10.9,
2006-07,-7.3,
2006-10,13.5,
2007-01,0.4,
2007-04,18.2,
2007-07,2.4,
2007-10,17.3,
2008-01,-5.0,
2008-04,1.8,
2008-07,-0.3,
2008-10,49.9,
2009-01,49.4,
2009-04,35.3,
2009-07,27.6,
2009-10,36.8,
2010-01,18.5,
2010-04,22.9,
2010-07,6.7,
2010-10,20.1,
2011-01,-1.7,
2011-04,12.1,
2011-07,8.6,
2011-10,21.1,
2012-01,12.8,
2012-04,25.6,
2012-07,28.1,
2012-10,36.0,
2013-01,21.7,
2013-04,29.5,
2013-07,20.9,
2013-10,31.5,
2014-01,11.4,
