"",BBNZ1.Q.DE.N.H.0108.L,BBNZ1.Q.DE.N.H.0108.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Domestic demand (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:41,
1970-01,45.35,
1970-04,49.12,
1970-07,51.82,
1970-10,51.95,
1971-01,48.40,
1971-04,50.72,
1971-07,53.53,
1971-10,53.79,
1972-01,51.02,
1972-04,52.92,
1972-07,55.52,
1972-10,55.91,
1973-01,53.85,
1973-04,54.96,
1973-07,56.77,
1973-10,56.94,
1974-01,52.76,
1974-04,54.21,
1974-07,56.65,
1974-10,55.31,
1975-01,52.60,
1975-04,54.63,
1975-07,56.90,
1975-10,57.87,
1976-01,55.62,
1976-04,57.63,
1976-07,59.17,
1976-10,60.57,
1977-01,58.12,
1977-04,58.91,
1977-07,61.36,
1977-10,62.17,
1978-01,59.65,
1978-04,61.62,
1978-07,63.31,
1978-10,64.79,
1979-01,62.55,
1979-04,65.50,
1979-07,66.54,
1979-10,67.77,
1980-01,65.35,
1980-04,65.22,
1980-07,66.78,
1980-10,67.12,
1981-01,64.73,
1981-04,64.02,
1981-07,65.28,
1981-10,64.75,
1982-01,63.02,
1982-04,63.25,
1982-07,64.09,
1982-10,64.09,
1983-01,62.92,
1983-04,64.62,
1983-07,66.01,
1983-10,67.26,
1984-01,65.62,
1984-04,65.12,
1984-07,67.27,
1984-10,67.35,
1985-01,65.19,
1985-04,65.70,
1985-07,68.49,
1985-10,69.21,
1986-01,66.28,
1986-04,69.19,
1986-07,70.88,
1986-10,72.27,
1987-01,68.70,
1987-04,70.10,
1987-07,72.54,
1987-10,74.12,
1988-01,72.43,
1988-04,72.35,
1988-07,74.97,
1988-10,75.84,
1989-01,74.10,
1989-04,75.02,
1989-07,76.55,
1989-10,79.17,
1990-01,78.08,
1990-04,79.00,
1990-07,80.39,
1990-10,81.94,
1991-01,81.30,
1991-04,83.95,
1991-07,84.81,
1991-10,84.42,
1992-01,84.54,
1992-04,85.16,
1992-07,86.89,
1992-10,87.13,
1993-01,82.17,
1993-04,84.28,
1993-07,87.29,
1993-10,86.10,
1994-01,84.33,
1994-04,85.70,
1994-07,89.17,
1994-10,89.26,
1995-01,86.28,
1995-04,88.05,
1995-07,90.67,
1995-10,89.67,
1996-01,86.18,
1996-04,88.27,
1996-07,91.33,
1996-10,90.17,
1997-01,86.44,
1997-04,89.99,
1997-07,92.05,
1997-10,91.17,
1998-01,89.27,
1998-04,90.58,
1998-07,94.35,
1998-10,93.72,
1999-01,91.68,
1999-04,93.05,
1999-07,96.99,
1999-10,96.63,
2000-01,94.12,
2000-04,95.80,
2000-07,98.91,
2000-10,97.54,
2001-01,95.39,
2001-04,96.51,
2001-07,98.57,
2001-10,96.68,
2002-01,92.23,
2002-04,94.15,
2002-07,97.28,
2002-10,95.16,
2003-01,92.71,
2003-04,94.18,
2003-07,97.31,
2003-10,95.74,
2004-01,92.46,
2004-04,93.23,
2004-07,97.49,
2004-10,95.73,
2005-01,90.89,
2005-04,94.73,
2005-07,97.47,
2005-10,96.23,
2006-01,95.03,
2006-04,96.61,
2006-07,100.42,
2006-10,98.08,
2007-01,97.47,
2007-04,97.85,
2007-07,102.25,
2007-10,99.46,
2008-01,98.61,
2008-04,99.64,
2008-07,103.67,
2008-10,99.49,
2009-01,96.53,
2009-04,95.49,
2009-07,99.98,
2009-10,96.48,
2010-01,97.13,
2010-04,99.16,
2010-07,103.38,
2010-10,100.33,
2011-01,101.64,
2011-04,102.04,
2011-07,106.27,
2011-10,102.10,
2012-01,102.00,
2012-04,100.51,
2012-07,104.52,
2012-10,101.16,
2013-01,100.55,
2013-04,101.37,
2013-07,106.88,
2013-10,102.14,
2014-01,103.01,
2014-04,102.63,
2014-07,107.32,
2014-10,103.14,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
