"",BBK01.CELI0K,BBK01.CELI0K_FLAGS
"",Listed Shares debtor: Total                                            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:04,
1999-01,1.9,
1999-04,1.4,
1999-07,1.8,
1999-10,1.9,
2000-01,2.0,
2000-04,2.2,
2000-07,2.1,
2000-10,-2.3,
2001-01,3.3,
2001-04,1.7,
2001-07,5.0,
2001-10,-5.9,
2002-01,5.5,
2002-04,0.4,
2002-07,-0.1,
2002-10,-7.4,
2003-01,-0.2,
2003-04,0.3,
2003-07,0.7,
2003-10,0.1,
2004-01,-0.5,
2004-04,-1.4,
2004-07,0.4,
2004-10,-0.7,
2005-01,0.4,
2005-04,-0.2,
2005-07,3.3,
2005-10,-2.8,
2006-01,-9.0,
2006-04,5.6,
2006-07,0.4,
2006-10,2.1,
2007-01,-4.9,
2007-04,-1.2,
2007-07,-1.9,
2007-10,8.6,
2008-01,-1.2,
2008-04,-0.9,
2008-07,0.4,
2008-10,-2.2,
2009-01,4.3,
2009-04,-1.3,
2009-07,-2.8,
2009-10,0.2,
2010-01,-1.1,
2010-04,-0.8,
2010-07,-0.1,
2010-10,0.3,
2011-01,0.0,
2011-04,-2.5,
2011-07,2.0,
2011-10,-0.9,
2012-01,-1.4,
2012-04,-1.1,
2012-07,-3.1,
2012-10,2.9,
2013-01,-0.7,
2013-04,0.0,
2013-07,-0.5,
2013-10,0.0,
2014-01,0.5,
2014-04,-0.3,
2014-07,-0.6,
