"",BBK01.WZ3425,BBK01.WZ3425_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 26.0 years / end of month",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:41,
2000-01,6.04,
2000-02,5.88,
2000-03,5.63,
2000-04,5.65,
2000-05,5.47,
2000-06,5.50,
2000-07,5.45,
2000-08,5.48,
2000-09,5.61,
2000-10,5.60,
2000-11,5.48,
2000-12,5.41,
2001-01,5.40,
2001-02,5.36,
2001-03,5.37,
2001-04,5.58,
2001-05,5.75,
2001-06,5.66,
2001-07,5.50,
2001-08,5.47,
2001-09,5.56,
2001-10,5.18,
2001-11,5.17,
2001-12,5.39,
2002-01,5.31,
2002-02,5.37,
2002-03,5.62,
2002-04,5.55,
2002-05,5.52,
2002-06,5.33,
2002-07,5.29,
2002-08,5.07,
2002-09,4.96,
2002-10,5.20,
2002-11,5.13,
2002-12,4.91,
2003-01,4.74,
2003-02,4.78,
2003-03,4.89,
2003-04,4.92,
2003-05,4.56,
2003-06,4.76,
2003-07,4.92,
2003-08,4.89,
2003-09,4.85,
2003-10,5.04,
2003-11,5.05,
2003-12,4.94,
2004-01,4.98,
2004-02,4.83,
2004-03,4.78,
2004-04,4.96,
2004-05,4.99,
2004-06,4.97,
2004-07,4.90,
2004-08,4.76,
2004-09,4.66,
2004-10,4.56,
2004-11,4.43,
2004-12,4.34,
2005-01,4.07,
2005-02,4.19,
2005-03,4.18,
2005-04,4.01,
2005-05,3.87,
2005-06,3.72,
2005-07,3.73,
2005-08,3.64,
2005-09,3.68,
2005-10,3.85,
2005-11,3.85,
2005-12,3.66,
2006-01,3.80,
2006-02,3.78,
2006-03,4.02,
2006-04,4.26,
2006-05,4.27,
2006-06,4.36,
2006-07,4.23,
2006-08,4.07,
2006-09,3.88,
2006-10,3.92,
2006-11,3.89,
2006-12,4.09,
2007-01,4.24,
2007-02,4.12,
2007-03,4.26,
2007-04,4.41,
2007-05,4.56,
2007-06,4.73,
2007-07,4.54,
2007-08,4.59,
2007-09,4.66,
2007-10,4.53,
2007-11,4.57,
2007-12,4.70,
2008-01,4.55,
2008-02,4.56,
2008-03,4.64,
2008-04,4.72,
2008-05,4.89,
2008-06,4.95,
2008-07,4.79,
2008-08,4.59,
2008-09,4.66,
2008-10,4.40,
2008-11,3.85,
2008-12,3.72,
2009-01,4.03,
2009-02,3.98,
2009-03,4.05,
2009-04,4.10,
2009-05,4.47,
2009-06,4.32,
2009-07,4.17,
2009-08,4.07,
2009-09,4.03,
2009-10,4.13,
2009-11,4.02,
2009-12,4.17,
2010-01,4.00,
2010-02,3.93,
2010-03,3.87,
2010-04,3.74,
2010-05,3.40,
2010-06,3.33,
2010-07,3.42,
2010-08,2.70,
2010-09,2.93,
2010-10,3.10,
2010-11,3.23,
2010-12,3.51,
2011-01,3.66,
2011-02,3.66,
2011-03,3.87,
2011-04,3.81,
2011-05,3.63,
2011-06,3.79,
2011-07,3.43,
2011-08,3.14,
2011-09,2.76,
2011-10,2.98,
2011-11,3.07,
2011-12,2.49,
2012-01,2.63,
2012-02,2.56,
2012-03,2.59,
2012-04,2.51,
2012-05,1.95,
2012-06,2.42,
2012-07,2.25,
2012-08,2.19,
2012-09,2.30,
2012-10,2.37,
2012-11,2.30,
2012-12,2.17,
2013-01,2.40,
2013-02,2.35,
2013-03,2.23,
2013-04,2.13,
2013-05,2.38,
2013-06,2.51,
2013-07,2.53,
2013-08,2.67,
2013-09,2.63,
2013-10,2.64,
2013-11,2.67,
2013-12,2.81,
2014-01,2.53,
2014-02,2.52,
2014-03,2.50,
2014-04,2.44,
2014-05,2.31,
2014-06,2.24,
2014-07,2.10,
2014-08,1.81,
2014-09,1.93,
2014-10,1.76,
2014-11,1.61,
2014-12,1.43,
2015-01,0.99,
