"",BBK01.CEH4I0,BBK01.CEH4I0_FLAGS
"",Loans debtor: Households and non-profit institutions serving households                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:59,
1991-01,7.5,
1991-04,13.2,
1991-07,17.4,
1991-10,26.2,
1992-01,10.3,
1992-04,19.2,
1992-07,17.8,
1992-10,24.5,
1993-01,10.7,
1993-04,18.3,
1993-07,21.6,
1993-10,35.5,
1994-01,15.7,
1994-04,21.4,
1994-07,23.6,
1994-10,35.3,
1995-01,5.7,
1995-04,19.6,
1995-07,19.2,
1995-10,29.4,
1996-01,8.5,
1996-04,17.4,
1996-07,19.6,
1996-10,33.5,
1997-01,7.5,
1997-04,19.5,
1997-07,18.3,
1997-10,18.9,
1998-01,4.0,
1998-04,18.7,
1998-07,16.0,
1998-10,34.9,
1999-01,14.2,
1999-04,28.6,
1999-07,17.5,
1999-10,21.9,
2000-01,2.3,
2000-04,17.9,
2000-07,11.4,
2000-10,13.2,
2001-01,-0.5,
2001-04,5.5,
2001-07,10.6,
2001-10,5.3,
2002-01,-3.9,
2002-04,2.3,
2002-07,8.0,
2002-10,9.0,
2003-01,-3.7,
2003-04,7.1,
2003-07,9.0,
2003-10,4.0,
2004-01,-11.2,
2004-04,4.9,
2004-07,8.2,
2004-10,-2.8,
2005-01,-13.5,
2005-04,4.4,
2005-07,3.6,
2005-10,0.9,
2006-01,-8.4,
2006-04,1.5,
2006-07,5.6,
2006-10,-4.1,
2007-01,-9.9,
2007-04,-1.9,
2007-07,-3.2,
2007-10,-5.7,
2008-01,-9.6,
2008-04,1.1,
2008-07,-1.1,
2008-10,-5.5,
2009-01,-8.5,
2009-04,1.6,
2009-07,3.8,
2009-10,-4.6,
2010-01,-6.8,
2010-04,5.7,
2010-07,5.4,
2010-10,0.9,
2011-01,-3.8,
2011-04,4.9,
2011-07,6.8,
2011-10,3.8,
2012-01,-1.1,
2012-04,6.8,
2012-07,6.1,
2012-10,3.3,
2013-01,-3.6,
2013-04,5.9,
2013-07,8.7,
2013-10,0.7,
2014-01,0.4,
