"",BBK01.CEBEI0,BBK01.CEBEI0_FLAGS
"",short-term loans debtor: Households and non-profit institutions serving households                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:14,
1991-01,82.2,
1991-04,85.1,
1991-07,86.8,
1991-10,90.7,
1992-01,90.9,
1992-04,94.6,
1992-07,94.3,
1992-10,97.4,
1993-01,97.1,
1993-04,97.4,
1993-07,97.1,
1993-10,99.1,
1994-01,95.8,
1994-04,96.6,
1994-07,97.7,
1994-10,100.2,
1995-01,98.8,
1995-04,101.6,
1995-07,101.8,
1995-10,103.6,
1996-01,98.5,
1996-04,99.4,
1996-07,99.7,
1996-10,106.0,
1997-01,100.4,
1997-04,101.4,
1997-07,100.6,
1997-10,103.3,
1998-01,100.0,
1998-04,103.2,
1998-07,105.3,
1998-10,109.8,
1999-01,108.6,
1999-04,111.8,
1999-07,111.5,
1999-10,111.7,
2000-01,109.7,
2000-04,112.5,
2000-07,112.7,
2000-10,113.7,
2001-01,110.5,
2001-04,111.9,
2001-07,111.3,
2001-10,110.5,
2002-01,106.7,
2002-04,106.6,
2002-07,107.2,
2002-10,106.5,
2003-01,102.7,
2003-04,102.5,
2003-07,102.0,
2003-10,98.7,
2004-01,94.2,
2004-04,93.0,
2004-07,93.0,
2004-10,90.3,
2005-01,87.4,
2005-04,86.6,
2005-07,86.2,
2005-10,85.6,
2006-01,83.2,
2006-04,82.9,
2006-07,82.8,
2006-10,80.2,
2007-01,78.5,
2007-04,79.2,
2007-07,77.9,
2007-10,78.9,
2008-01,78.1,
2008-04,78.1,
2008-07,78.7,
2008-10,80.0,
2009-01,79.6,
2009-04,79.5,
2009-07,78.2,
2009-10,75.7,
2010-01,75.4,
2010-04,78.0,
2010-07,77.6,
2010-10,75.6,
2011-01,75.0,
2011-04,75.8,
2011-07,75.0,
2011-10,73.9,
2012-01,73.8,
2012-04,74.4,
2012-07,73.1,
2012-10,72.6,
2013-01,70.2,
2013-04,69.9,
2013-07,69.8,
2013-10,67.7,
2014-01,68.4,
