"",BBNZ1.Q.DE.N.G.0327.A,BBNZ1.Q.DE.N.G.0327.A_FLAGS
"",Germany / National accounts / Households' income / Saving ratio,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:07,
1991-01,15.8,
1991-04,12.7,
1991-07,11.2,
1991-10,11.0,
1992-01,16.0,
1992-04,12.0,
1992-07,11.3,
1992-10,10.7,
1993-01,15.5,
1993-04,11.8,
1993-07,10.1,
1993-10,10.3,
1994-01,14.5,
1994-04,10.7,
1994-07,10.0,
1994-10,10.1,
1995-01,14.4,
1995-04,10.4,
1995-07,9.5,
1995-10,9.5,
1996-01,14.1,
1996-04,10.1,
1996-07,9.0,
1996-10,8.7,
1997-01,13.5,
1997-04,9.4,
1997-07,8.7,
1997-10,8.8,
1998-01,13.5,
1998-04,9.4,
1998-07,8.3,
1998-10,8.3,
1999-01,12.4,
1999-04,8.8,
1999-07,8.1,
1999-10,8.4,
2000-01,12.5,
2000-04,8.3,
2000-07,7.3,
2000-10,7.7,
2001-01,12.8,
2001-04,8.8,
2001-07,8.2,
2001-10,8.4,
2002-01,12.6,
2002-04,8.9,
2002-07,8.3,
2002-10,8.5,
2003-01,13.7,
2003-04,9.4,
2003-07,8.6,
2003-10,9.4,
2004-01,13.6,
2004-04,9.4,
2004-07,8.6,
2004-10,8.4,
2005-01,13.4,
2005-04,9.1,
2005-07,8.6,
2005-10,9.1,
2006-01,13.4,
2006-04,9.4,
2006-07,8.7,
2006-10,8.7,
2007-01,14.0,
2007-04,9.4,
2007-07,8.6,
2007-10,8.7,
2008-01,14.0,
2008-04,10.5,
2008-07,9.2,
2008-10,8.2,
2009-01,13.5,
2009-04,9.5,
2009-07,8.5,
2009-10,8.3,
2010-01,13.6,
2010-04,9.5,
2010-07,8.5,
2010-10,8.2,
2011-01,12.9,
2011-04,9.2,
2011-07,8.2,
2011-10,8.0,
2012-01,13.0,
2012-04,9.1,
2012-07,8.0,
2012-10,7.5,
2013-01,12.4,
2013-04,8.7,
2013-07,7.8,
2013-10,7.4,
2014-01,12.6,
2014-04,8.9,
2014-07,8.0,
2014-10,8.1,
