"",BBAI3.Q.DE.N.V.LE.F42B.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F42B.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Loans up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:02,
2005-10,28898,
2006-01,30790,
2006-04,31350,
2006-07,35121,
2006-10,36030,
2007-01,36492,
2007-04,34687,
2007-07,36076,
2007-10,32322,
2008-01,31808,
2008-04,31617,
2008-07,30103,
2008-10,28334,
2009-01,28245,
2009-04,27738,
2009-07,27263,
2009-10,27539,
2010-01,27282,
2010-04,26700,
2010-07,26671,
2010-10,23153,
2011-01,23046,
2011-04,22912,
2011-07,22874,
2011-10,23666,
2012-01,23969,
2012-04,23905,
2012-07,24108,
2012-10,25109,
2013-01,25907,
2013-04,25275,
2013-07,28008,
2013-10,28170,
2014-01,30375,
2014-04,30758,
2014-07,30127,
