"",BBK01.CEB00B,BBK01.CEB00B_FLAGS
"",Financial assets debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:22,
1991-01,430.4,
1991-04,434.8,
1991-07,442.9,
1991-10,492.8,
1992-01,474.2,
1992-04,472.3,
1992-07,485.2,
1992-10,544.1,
1993-01,516.2,
1993-04,517.3,
1993-07,551.0,
1993-10,632.3,
1994-01,639.2,
1994-04,652.5,
1994-07,663.3,
1994-10,663.8,
1995-01,682.5,
1995-04,708.4,
1995-07,729.1,
1995-10,751.9,
1996-01,785.3,
1996-04,803.8,
1996-07,823.8,
1996-10,835.8,
1997-01,886.5,
1997-04,916.1,
1997-07,942.5,
1997-10,963.6,
1998-01,1011.8,
1998-04,1045.8,
1998-07,1045.3,
1998-10,1064.5,
1999-01,1057.3,
1999-04,1084.4,
1999-07,1095.7,
1999-10,1173.9,
2000-01,1224.4,
2000-04,1230.8,
2000-07,1246.6,
2000-10,1215.8,
2001-01,1221.5,
2001-04,1243.4,
2001-07,1219.6,
2001-10,1271.3,
2002-01,1326.6,
2002-04,1311.3,
2002-07,1288.5,
2002-10,1302.8,
2003-01,1306.3,
2003-04,1346.9,
2003-07,1361.3,
2003-10,1411.0,
2004-01,1441.4,
2004-04,1447.6,
2004-07,1458.2,
2004-10,1478.5,
2005-01,1515.0,
2005-04,1535.6,
2005-07,1571.7,
2005-10,1596.8,
2006-01,1599.9,
2006-04,1609.8,
2006-07,1637.2,
2006-10,1656.4,
2007-01,1668.1,
2007-04,1699.3,
2007-07,1715.9,
2007-10,1718.7,
2008-01,1701.8,
2008-04,1694.1,
2008-07,1695.5,
2008-10,1681.1,
2009-01,1692.1,
2009-04,1705.2,
2009-07,1721.4,
2009-10,1740.8,
2010-01,1787.6,
2010-04,1795.9,
2010-07,1822.2,
2010-10,1840.6,
2011-01,1866.8,
2011-04,1892.8,
2011-07,1885.1,
2011-10,1893.7,
2012-01,1960.0,
2012-04,1968.3,
2012-07,2018.3,
2012-10,2062.2,
2013-01,2101.7,
2013-04,2095.2,
2013-07,2121.3,
2013-10,2140.6,
2014-01,2205.7,
