"",BBK01.CEBX01,BBK01.CEBX01_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims  debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:43,
1991-01,17.8,
1991-04,17.8,
1991-07,17.6,
1991-10,17.4,
1992-01,20.7,
1992-04,20.6,
1992-07,20.2,
1992-10,19.2,
1993-01,21.6,
1993-04,22.4,
1993-07,22.2,
1993-10,20.9,
1994-01,20.6,
1994-04,23.0,
1994-07,23.2,
1994-10,23.1,
1995-01,25.9,
1995-04,25.8,
1995-07,26.0,
1995-10,25.5,
1996-01,28.9,
1996-04,29.0,
1996-07,28.8,
1996-10,27.6,
1997-01,30.2,
1997-04,29.9,
1997-07,29.8,
1997-10,29.1,
1998-01,31.4,
1998-04,31.1,
1998-07,31.0,
1998-10,30.1,
1999-01,34.2,
1999-04,34.7,
1999-07,35.3,
1999-10,34.5,
2000-01,35.6,
2000-04,36.0,
2000-07,36.4,
2000-10,34.9,
2001-01,35.9,
2001-04,36.3,
2001-07,37.3,
2001-10,36.5,
2002-01,38.2,
2002-04,38.7,
2002-07,39.2,
2002-10,37.6,
2003-01,38.1,
2003-04,38.7,
2003-07,39.0,
2003-10,38.2,
2004-01,38.9,
2004-04,38.9,
2004-07,39.3,
2004-10,39.7,
2005-01,40.6,
2005-04,40.8,
2005-07,41.6,
2005-10,41.4,
2006-01,41.9,
2006-04,42.5,
2006-07,43.0,
2006-10,42.8,
2007-01,41.9,
2007-04,40.9,
2007-07,40.0,
2007-10,41.9,
2008-01,42.0,
2008-04,42.0,
2008-07,42.1,
2008-10,41.1,
2009-01,41.2,
2009-04,41.4,
2009-07,41.6,
2009-10,41.9,
2010-01,41.7,
2010-04,41.5,
2010-07,41.4,
2010-10,41.3,
2011-01,41.5,
2011-04,41.7,
2011-07,41.9,
2011-10,41.9,
2012-01,42.2,
2012-04,42.6,
2012-07,42.9,
2012-10,43.3,
2013-01,43.6,
2013-04,44.0,
2013-07,44.3,
2013-10,44.7,
2014-01,45.1,
