"",BBEX3.M.XAU.USD.EA.AC.C07,BBEX3.M.XAU.USD.EA.AC.C07_FLAGS
"",Price of gold in London / afternoon fixing * / 1 ounce of fine gold = USD ...,
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:01:47,
1950-01,34.730,
1950-02,34.730,
1950-03,34.730,
1950-04,34.730,
1950-05,34.730,
1950-06,34.730,
1950-07,34.730,
1950-08,34.730,
1950-09,34.730,
1950-10,34.730,
1950-11,34.730,
1950-12,34.720,
1951-01,34.720,
1951-02,34.730,
1951-03,34.730,
1951-04,34.730,
1951-05,34.730,
1951-06,34.730,
1951-07,34.720,
1951-08,34.710,
1951-09,34.710,
1951-10,34.710,
1951-11,34.730,
1951-12,34.660,
1952-01,34.490,
1952-02,34.490,
1952-03,34.680,
1952-04,34.820,
1952-05,34.730,
1952-06,34.530,
1952-07,34.570,
1952-08,34.580,
1952-09,34.510,
1952-10,34.630,
1952-11,34.720,
1952-12,34.790,
1953-01,34.880,
1953-02,34.950,
1953-03,34.920,
1953-04,34.930,
1953-05,34.900,
1953-06,34.890,
1953-07,34.910,
1953-08,34.910,
1953-09,34.760,
1953-10,34.790,
1953-11,34.860,
1953-12,34.850,
1954-01,34.860,
1954-02,34.880,
1954-03,34.920,
1954-04,35.040,
1954-05,35.080,
1954-06,35.070,
1954-07,35.080,
1954-08,35.050,
1954-09,35.080,
1954-10,35.080,
1954-11,35.060,
1954-12,35.040,
1955-01,35.040,
1955-02,35.050,
1955-03,35.060,
1955-04,35.050,
1955-05,35.050,
1955-06,35.040,
1955-07,35.050,
1955-08,35.030,
1955-09,34.980,
1955-10,34.980,
1955-11,34.980,
1955-12,34.970,
1956-01,34.990,
1956-02,34.990,
1956-03,34.990,
1956-04,34.980,
1956-05,34.990,
1956-06,34.980,
1956-07,35.000,
1956-08,35.020,
1956-09,35.010,
1956-10,35.020,
1956-11,34.980,
1956-12,34.900,
1957-01,34.880,
1957-02,34.890,
